season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2023,NBA,Dallas Mavericks,DAL,False,82.0,19930.0,3425.0,7065.0,0.485,913.0,2596.0,0.352,2512.0,4469.0,0.562,1597.0,2046.0,0.781,830.0,2838.0,3668.0,2044.0,522.0,312.0,1075.0,1789.0,9360.0
2023,NBA,Denver Nuggets,DEN,True,82.0,19755.0,3423.0,7166.0,0.478,933.0,2711.0,0.344,2490.0,4455.0,0.559,1443.0,1861.0,0.775,832.0,2516.0,3348.0,2105.0,646.0,344.0,1105.0,1601.0,9222.0
2023,NBA,Detroit Pistons,DET,False,82.0,19805.0,3533.0,7222.0,0.489,984.0,2732.0,0.36,2549.0,4490.0,0.568,1669.0,2149.0,0.777,901.0,2767.0,3668.0,2112.0,631.0,453.0,1108.0,1718.0,9719.0
2023,NBA,Golden State Warriors,GSW,True,82.0,19830.0,3478.0,7423.0,0.469,1060.0,2915.0,0.364,2418.0,4508.0,0.536,1589.0,2067.0,0.769,880.0,2673.0,3553.0,2110.0,646.0,326.0,1172.0,1510.0,9605.0
2023,NBA,Houston Rockets,HOU,False,82.0,19755.0,3480.0,7226.0,0.482,1189.0,3183.0,0.374,2291.0,4043.0,0.567,1576.0,1986.0,0.794,861.0,2543.0,3404.0,2143.0,718.0,509.0,1079.0,1692.0,9725.0
2023,NBA,Indiana Pacers,IND,False,82.0,19755.0,3549.0,7323.0,0.485,1019.0,2733.0,0.373,2530.0,4590.0,0.551,1679.0,2100.0,0.8,993.0,2721.0,3714.0,2163.0,650.0,438.0,1235.0,1660.0,9796.0
2023,NBA,Los Angeles Clippers,LAC,True,82.0,19830.0,3430.0,7243.0,0.474,1000.0,2738.0,0.365,2430.0,4505.0,0.539,1413.0,1832.0,0.771,838.0,2699.0,3537.0,2048.0,640.0,343.0,1065.0,1607.0,9273.0
2023,NBA,Los Angeles Lakers,LAL,True,82.0,19880.0,3607.0,7698.0,0.469,1028.0,2991.0,0.344,2579.0,4707.0,0.548,1319.0,1706.0,0.773,908.0,2770.0,3678.0,2104.0,624.0,416.0,1035.0,1760.0,9561.0
2023,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3340.0,7365.0,0.453,1065.0,2998.0,0.355,2275.0,4367.0,0.521,1519.0,1931.0,0.787,902.0,2738.0,3640.0,2167.0,559.0,427.0,1240.0,1644.0,9264.0
2023,NBA,Miami Heat,MIA,True,82.0,19805.0,3288.0,6822.0,0.482,1077.0,2933.0,0.367,2211.0,3889.0,0.569,1350.0,1728.0,0.781,729.0,2702.0,3431.0,2097.0,571.0,309.0,1288.0,1643.0,9003.0
2023,NBA,Milwaukee Bucks,MIL,True,82.0,19830.0,3483.0,7644.0,0.456,991.0,2799.0,0.354,2492.0,4845.0,0.514,1334.0,1719.0,0.776,879.0,2744.0,3623.0,1963.0,578.0,323.0,970.0,1557.0,9291.0
2023,NBA,Minnesota Timberwolves,MIN,True,82.0,19830.0,3428.0,7277.0,0.471,1007.0,2728.0,0.369,2421.0,4549.0,0.532,1634.0,2133.0,0.766,928.0,2734.0,3662.0,2051.0,674.0,336.0,1262.0,1654.0,9497.0
2023,NBA,New Orleans Pelicans,NOP,False,82.0,19855.0,3357.0,7105.0,0.472,1002.0,2953.0,0.339,2355.0,4152.0,0.567,1507.0,1935.0,0.779,792.0,2634.0,3426.0,2044.0,600.0,386.0,1228.0,1673.0,9223.0
2023,NBA,New York Knicks,NYK,True,82.0,19955.0,3343.0,7229.0,0.462,1068.0,2992.0,0.357,2275.0,4237.0,0.537,1520.0,1943.0,0.782,830.0,2617.0,3447.0,2062.0,496.0,370.0,1044.0,1694.0,9274.0
2023,NBA,Oklahoma City Thunder,OKC,False,82.0,19855.0,3437.0,7252.0,0.474,1059.0,2955.0,0.358,2378.0,4297.0,0.553,1611.0,2090.0,0.771,982.0,2841.0,3823.0,2126.0,572.0,454.0,1375.0,1675.0,9544.0
2023,NBA,Orlando Magic,ORL,False,82.0,19780.0,3389.0,7127.0,0.476,1064.0,3030.0,0.351,2325.0,4097.0,0.567,1504.0,1890.0,0.796,779.0,2669.0,3448.0,2122.0,634.0,415.0,1204.0,1681.0,9346.0
2023,NBA,Philadelphia 76ers,PHI,True,82.0,19880.0,3312.0,7005.0,0.473,952.0,2735.0,0.348,2360.0,4270.0,0.553,1518.0,1943.0,0.781,782.0,2593.0,3375.0,1986.0,540.0,380.0,1171.0,1607.0,9094.0
2023,NBA,Phoenix Suns,PHO,True,82.0,19780.0,3280.0,7044.0,0.466,938.0,2628.0,0.357,2342.0,4416.0,0.53,1651.0,2101.0,0.786,840.0,2676.0,3516.0,1915.0,588.0,327.0,1183.0,1629.0,9149.0
2023,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3522.0,7176.0,0.491,1029.0,2717.0,0.379,2493.0,4459.0,0.559,1555.0,1977.0,0.787,857.0,2686.0,3543.0,2214.0,640.0,352.0,1108.0,1679.0,9628.0
2023,NBA,Sacramento Kings,SAC,True,82.0,19830.0,3589.0,7288.0,0.492,1022.0,2740.0,0.373,2567.0,4548.0,0.564,1481.0,1882.0,0.787,795.0,2665.0,3460.0,2187.0,598.0,341.0,1165.0,1711.0,9681.0
2023,NBA,San Antonio Spurs,SAS,False,82.0,19855.0,3780.0,7460.0,0.507,1036.0,2651.0,0.391,2744.0,4809.0,0.571,1496.0,1942.0,0.77,877.0,2811.0,3688.0,2198.0,665.0,431.0,1135.0,1516.0,10092.0
2023,NBA,Toronto Raptors,TOR,False,82.0,19805.0,3312.0,6752.0,0.491,1001.0,2676.0,0.374,2311.0,4076.0,0.567,1508.0,1893.0,0.797,757.0,2709.0,3466.0,2148.0,492.0,376.0,1367.0,1604.0,9133.0
2023,NBA,Utah Jazz,UTA,False,82.0,19805.0,3555.0,7515.0,0.473,1023.0,2830.0,0.361,2532.0,4685.0,0.54,1544.0,1989.0,0.776,919.0,2644.0,3563.0,2047.0,639.0,405.0,1030.0,1679.0,9677.0
2023,NBA,Washington Wizards,WAS,False,82.0,19755.0,3481.0,7363.0,0.473,984.0,2688.0,0.366,2497.0,4675.0,0.534,1432.0,1794.0,0.798,883.0,2645.0,3528.0,2035.0,581.0,406.0,1008.0,1590.0,9378.0
2023,NBA,League Average,,False,82.0,19828.0,3442.0,7241.0,0.475,1012.0,2806.0,0.361,2430.0,4435.0,0.548,1508.0,1929.0,0.782,856.0,2706.0,3562.0,2076.0,598.0,382.0,1156.0,1638.0,9404.0
2022,NBA,Atlanta Hawks,ATL,True,82.0,19705.0,3435.0,7294.0,0.471,1051.0,2888.0,0.364,2384.0,4406.0,0.541,1294.0,1634.0,0.792,838.0,2758.0,3596.0,2085.0,576.0,367.0,1046.0,1668.0,9215.0
2022,NBA,Boston Celtics,BOS,True,82.0,19905.0,3137.0,7221.0,0.434,969.0,2860.0,0.339,2168.0,4361.0,0.497,1324.0,1692.0,0.783,858.0,2727.0,3585.0,1773.0,618.0,376.0,1133.0,1592.0,8567.0
2022,NBA,Brooklyn Nets,BRK,True,82.0,19755.0,3340.0,7395.0,0.452,1026.0,2974.0,0.345,2314.0,4421.0,0.523,1488.0,1888.0,0.788,926.0,2690.0,3616.0,1954.0,650.0,403.0,1088.0,1616.0,9194.0
2022,NBA,Chicago Bulls,CHI,True,82.0,19730.0,3397.0,7170.0,0.474,960.0,2620.0,0.366,2437.0,4550.0,0.536,1430.0,1799.0,0.795,764.0,2777.0,3541.0,2049.0,584.0,410.0,1071.0,1489.0,9184.0
2022,NBA,Charlotte Hornets,CHO,False,82.0,19880.0,3444.0,7388.0,0.466,1148.0,3170.0,0.362,2296.0,4218.0,0.544,1385.0,1815.0,0.763,931.0,2920.0,3851.0,2169.0,617.0,377.0,1229.0,1609.0,9421.0
2022,NBA,Cleveland Cavaliers,CLE,False,82.0,19730.0,3236.0,7152.0,0.452,960.0,2721.0,0.353,2276.0,4431.0,0.514,1233.0,1592.0,0.774,858.0,2657.0,3515.0,1978.0,691.0,380.0,1101.0,1638.0,8665.0
2022,NBA,Dallas Mavericks,DAL,True,82.0,19755.0,3198.0,7001.0,0.457,895.0,2635.0,0.34,2303.0,4366.0,0.527,1296.0,1689.0,0.767,780.0,2799.0,3579.0,1925.0,575.0,300.0,1073.0,1645.0,8587.0
