season,lg,team,abbreviation,playoffs,g,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
2023,NBA,Milwaukee Bucks,MIL,True,82.0,19830.0,3504.0,7411.0,0.473,1217.0,3306.0,0.368,2287.0,4105.0,0.557,1364.0,1837.0,0.743,914.0,3074.0,3988.0,2115.0,521.0,403.0,1199.0,1481.0,9589.0
2023,NBA,Minnesota Timberwolves,MIN,True,82.0,19830.0,3515.0,7167.0,0.49,997.0,2731.0,0.365,2518.0,4436.0,0.568,1467.0,1942.0,0.755,749.0,2686.0,3435.0,2145.0,657.0,444.0,1258.0,1768.0,9494.0
2023,NBA,New Orleans Pelicans,NOP,False,82.0,19855.0,3447.0,7180.0,0.48,899.0,2468.0,0.364,2548.0,4712.0,0.541,1585.0,2000.0,0.793,866.0,2717.0,3583.0,2122.0,681.0,337.0,1196.0,1678.0,9378.0
2023,NBA,New York Knicks,NYK,True,82.0,19955.0,3444.0,7328.0,0.47,1037.0,2930.0,0.354,2407.0,4398.0,0.547,1589.0,2087.0,0.761,1031.0,2790.0,3821.0,1880.0,527.0,340.0,1065.0,1666.0,9514.0
2023,NBA,Oklahoma City Thunder,OKC,False,82.0,19855.0,3533.0,7590.0,0.465,995.0,2797.0,0.356,2538.0,4793.0,0.53,1572.0,1944.0,0.809,934.0,2645.0,3579.0,2002.0,676.0,341.0,1069.0,1722.0,9633.0
2023,NBA,Orlando Magic,ORL,False,82.0,19780.0,3323.0,7074.0,0.47,883.0,2551.0,0.346,2440.0,4523.0,0.539,1607.0,2050.0,0.784,833.0,2713.0,3546.0,1906.0,603.0,382.0,1236.0,1652.0,9136.0
2023,NBA,Philadelphia 76ers,PHI,True,82.0,19880.0,3347.0,6870.0,0.487,1035.0,2675.0,0.387,2312.0,4195.0,0.551,1719.0,2058.0,0.835,715.0,2641.0,3356.0,2063.0,635.0,389.0,1121.0,1675.0,9448.0
2023,NBA,Phoenix Suns,PHO,True,82.0,19780.0,3453.0,7388.0,0.467,1001.0,2674.0,0.374,2452.0,4714.0,0.52,1412.0,1781.0,0.793,971.0,2657.0,3628.0,2235.0,585.0,432.0,1110.0,1739.0,9319.0
2023,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3317.0,7001.0,0.474,1056.0,2893.0,0.365,2261.0,4108.0,0.55,1609.0,2021.0,0.796,774.0,2551.0,3325.0,1981.0,553.0,376.0,1185.0,1643.0,9299.0
2023,NBA,Sacramento Kings,SAC,True,82.0,19830.0,3573.0,7232.0,0.494,1128.0,3060.0,0.369,2445.0,4172.0,0.586,1624.0,2055.0,0.79,782.0,2699.0,3481.0,2237.0,574.0,275.0,1106.0,1616.0,9898.0
2023,NBA,San Antonio Spurs,SAS,False,82.0,19855.0,3533.0,7593.0,0.465,911.0,2640.0,0.345,2622.0,4953.0,0.529,1292.0,1739.0,0.743,965.0,2619.0,3584.0,2232.0,572.0,322.0,1253.0,1630.0,9269.0
2023,NBA,Toronto Raptors,TOR,False,82.0,19805.0,3434.0,7489.0,0.459,880.0,2626.0,0.335,2554.0,4863.0,0.525,1506.0,1922.0,0.784,1043.0,2485.0,3528.0,1961.0,772.0,424.0,956.0,1641.0,9254.0
2023,NBA,Utah Jazz,UTA,False,82.0,19805.0,3485.0,7365.0,0.473,1094.0,3099.0,0.353,2391.0,4266.0,0.56,1536.0,1955.0,0.786,968.0,2794.0,3762.0,2129.0,500.0,429.0,1259.0,1679.0,9600.0
2023,NBA,Washington Wizards,WAS,False,82.0,19755.0,3456.0,7127.0,0.485,925.0,2601.0,0.356,2531.0,4526.0,0.559,1442.0,1838.0,0.785,774.0,2804.0,3578.0,2083.0,561.0,424.0,1158.0,1539.0,9279.0
2023,NBA,League Average,,False,82.0,19828.0,3442.0,7241.0,0.475,1012.0,2806.0,0.361,2430.0,4435.0,0.548,1508.0,1929.0,0.782,856.0,2706.0,3562.0,2076.0,598.0,382.0,1156.0,1638.0,9404.0
2022,NBA,Atlanta Hawks,ATL,True,82.0,19705.0,3401.0,7241.0,0.47,1056.0,2821.0,0.374,2345.0,4420.0,0.531,1485.0,1829.0,0.812,823.0,2783.0,3606.0,2017.0,587.0,348.0,972.0,1534.0,9343.0
2022,NBA,Boston Celtics,BOS,True,82.0,19905.0,3341.0,7167.0,0.466,1085.0,3044.0,0.356,2256.0,4123.0,0.547,1397.0,1713.0,0.816,863.0,2915.0,3778.0,2036.0,591.0,478.0,1118.0,1521.0,9164.0
2022,NBA,Brooklyn Nets,BRK,True,82.0,19755.0,3442.0,7251.0,0.475,940.0,2602.0,0.361,2502.0,4649.0,0.538,1434.0,1781.0,0.805,844.0,2796.0,3640.0,2071.0,582.0,448.0,1153.0,1670.0,9258.0
2022,NBA,Chicago Bulls,CHI,True,82.0,19730.0,3422.0,7127.0,0.48,872.0,2364.0,0.369,2550.0,4763.0,0.535,1436.0,1766.0,0.813,711.0,2760.0,3471.0,1958.0,585.0,336.0,1053.0,1540.0,9152.0
2022,NBA,Charlotte Hornets,CHO,False,82.0,19880.0,3508.0,7497.0,0.468,1143.0,3130.0,0.365,2365.0,4367.0,0.542,1298.0,1753.0,0.74,888.0,2767.0,3655.0,2302.0,707.0,402.0,1087.0,1629.0,9457.0
2022,NBA,Cleveland Cavaliers,CLE,False,82.0,19730.0,3255.0,6940.0,0.469,953.0,2686.0,0.355,2302.0,4254.0,0.541,1376.0,1810.0,0.76,837.0,2786.0,3623.0,2064.0,580.0,343.0,1181.0,1433.0,8839.0
2022,NBA,Dallas Mavericks,DAL,True,82.0,19755.0,3222.0,6982.0,0.461,1073.0,3063.0,0.35,2149.0,3919.0,0.548,1341.0,1739.0,0.771,759.0,2769.0,3528.0,1918.0,552.0,325.0,1025.0,1612.0,8858.0
2022,NBA,Denver Nuggets,DEN,True,82.0,19805.0,3416.0,7079.0,0.483,1039.0,2944.0,0.353,2377.0,4135.0,0.575,1372.0,1725.0,0.795,752.0,2865.0,3617.0,2279.0,592.0,305.0,1189.0,1639.0,9243.0
2022,NBA,Detroit Pistons,DET,False,82.0,19780.0,3129.0,7267.0,0.431,925.0,2838.0,0.326,2204.0,4429.0,0.498,1413.0,1806.0,0.782,900.0,2625.0,3525.0,1924.0,630.0,393.0,1163.0,1799.0,8596.0
2022,NBA,Golden State Warriors,GSW,True,82.0,19730.0,3323.0,7087.0,0.469,1176.0,3231.0,0.364,2147.0,3856.0,0.557,1280.0,1665.0,0.769,800.0,2930.0,3730.0,2223.0,719.0,372.0,1221.0,1723.0,9102.0
2022,NBA,Houston Rockets,HOU,False,82.0,19755.0,3229.0,7083.0,0.456,1105.0,3170.0,0.349,2124.0,3913.0,0.543,1434.0,2010.0,0.713,786.0,2660.0,3446.0,1932.0,600.0,382.0,1351.0,1692.0,8997.0
2022,NBA,Indiana Pacers,IND,False,82.0,19880.0,3398.0,7338.0,0.463,997.0,2899.0,0.344,2401.0,4439.0,0.541,1347.0,1754.0,0.768,925.0,2671.0,3596.0,2081.0,582.0,457.0,1183.0,1675.0,9140.0
2022,NBA,Los Angeles Clippers,LAC,False,82.0,19780.0,3285.0,7170.0,0.458,1047.0,2802.0,0.374,2238.0,4368.0,0.512,1273.0,1606.0,0.793,747.0,2860.0,3607.0,1969.0,608.0,406.0,1126.0,1528.0,8890.0
2022,NBA,Los Angeles Lakers,LAL,False,82.0,19980.0,3415.0,7279.0,0.469,982.0,2826.0,0.347,2433.0,4453.0,0.546,1380.0,1884.0,0.732,782.0,2826.0,3608.0,1968.0,626.0,425.0,1191.0,1654.0,9192.0
2022,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3571.0,7739.0,0.461,945.0,2679.0,0.353,2626.0,5060.0,0.519,1393.0,1898.0,0.734,1159.0,2873.0,4032.0,2131.0,800.0,533.0,1082.0,1620.0,9480.0
2022,NBA,Miami Heat,MIA,True,82.0,19855.0,3246.0,6954.0,0.467,1114.0,2936.0,0.379,2132.0,4018.0,0.531,1416.0,1753.0,0.808,807.0,2778.0,3585.0,2090.0,606.0,265.0,1194.0,1679.0,9022.0
2022,NBA,Milwaukee Bucks,MIL,True,82.0,19755.0,3429.0,7331.0,0.468,1153.0,3151.0,0.366,2276.0,4180.0,0.544,1459.0,1881.0,0.776,840.0,2990.0,3830.0,1960.0,623.0,326.0,1100.0,1494.0,9470.0
2022,NBA,Minnesota Timberwolves,MIN,True,82.0,19780.0,3411.0,7458.0,0.457,1211.0,3386.0,0.358,2200.0,4072.0,0.54,1474.0,1894.0,0.778,921.0,2700.0,3621.0,2106.0,721.0,460.0,1175.0,1786.0,9507.0
2022,NBA,New Orleans Pelicans,NOP,True,82.0,19755.0,3294.0,7212.0,0.457,873.0,2629.0,0.332,2421.0,4583.0,0.528,1501.0,1903.0,0.789,981.0,2726.0,3707.0,2047.0,680.0,328.0,1153.0,1612.0,8962.0
2022,NBA,New York Knicks,NYK,False,82.0,19780.0,3088.0,7069.0,0.437,1082.0,3029.0,0.357,2006.0,4040.0,0.497,1473.0,1980.0,0.744,941.0,2841.0,3782.0,1793.0,570.0,399.0,1087.0,1672.0,8731.0
2022,NBA,Oklahoma City Thunder,OKC,False,82.0,19805.0,3141.0,7310.0,0.43,991.0,3066.0,0.323,2150.0,4244.0,0.507,1233.0,1632.0,0.756,854.0,2887.0,3741.0,1822.0,622.0,380.0,1145.0,1497.0,8506.0
2022,NBA,Orlando Magic,ORL,False,82.0,19780.0,3139.0,7240.0,0.434,999.0,3022.0,0.331,2140.0,4218.0,0.507,1270.0,1614.0,0.787,746.0,2885.0,3631.0,1947.0,555.0,367.0,1188.0,1612.0,8547.0
2022,NBA,Philadelphia 76ers,PHI,True,82.0,19805.0,3230.0,6932.0,0.466,950.0,2608.0,0.364,2280.0,4324.0,0.527,1605.0,1955.0,0.821,700.0,2770.0,3470.0,1945.0,633.0,435.0,1027.0,1590.0,9015.0
2022,NBA,Phoenix Suns,PHO,True,82.0,19730.0,3581.0,7389.0,0.485,951.0,2616.0,0.364,2630.0,4773.0,0.551,1303.0,1635.0,0.797,801.0,2913.0,3714.0,2244.0,702.0,359.0,1060.0,1633.0,9416.0
2022,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3161.0,7144.0,0.442,1043.0,3017.0,0.346,2118.0,4127.0,0.513,1346.0,1771.0,0.76,854.0,2661.0,3515.0,1880.0,657.0,366.0,1187.0,1728.0,8711.0
2022,NBA,Sacramento Kings,SAC,False,82.0,19805.0,3321.0,7223.0,0.46,937.0,2722.0,0.344,2384.0,4501.0,0.53,1466.0,1908.0,0.768,784.0,2737.0,3521.0,1943.0,588.0,369.0,1156.0,1552.0,9045.0
2022,NBA,San Antonio Spurs,SAS,False,82.0,19805.0,3546.0,7601.0,0.467,925.0,2626.0,0.352,2621.0,4975.0,0.527,1262.0,1673.0,0.754,901.0,2815.0,3716.0,2289.0,626.0,403.0,1043.0,1483.0,9279.0
2022,NBA,Toronto Raptors,TOR,True,82.0,19855.0,3332.0,7489.0,0.445,979.0,2808.0,0.349,2353.0,4681.0,0.503,1327.0,1749.0,0.759,1095.0,2622.0,3717.0,1809.0,738.0,376.0,1021.0,1607.0,8970.0
2022,NBA,Utah Jazz,UTA,True,82.0,19730.0,3327.0,7067.0,0.471,1192.0,3308.0,0.36,2135.0,3759.0,0.568,1470.0,1916.0,0.767,884.0,2916.0,3800.0,1836.0,588.0,402.0,1149.0,1547.0,9316.0
2022,NBA,Washington Wizards,WAS,False,82.0,19830.0,3327.0,7056.0,0.472,860.0,2512.0,0.342,2467.0,4544.0,0.543,1393.0,1778.0,0.783,737.0,2798.0,3535.0,2052.0,522.0,406.0,1077.0,1545.0,8907.0
2022,NBA,League Average,,False,82.0,19792.0,3331.0,7224.0,0.461,1020.0,2885.0,0.354,2311.0,4340.0,0.533,1389.0,1793.0,0.775,847.0,2798.0,3645.0,2021.0,626.0,386.0,1129.0,1610.0,9071.0
