season,lg,player,player_id,age,team,pos,g,gs,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
2024,NBA,Terry Rozier,roziete01,29,2TM,SG,61,60,2040,82.0,18.0,0.0,0.0,0.0,-6.8,-3.0,66,27,44,8,80,33.0,825,17,58
2024,NBA,Terry Rozier,roziete01,29,CHO,SG,30,30,1065,65.0,35.0,0.0,0.0,0.0,-13.0,-3.4,40,15,19,7,49,21.0,478,9,29
2024,NBA,Terry Rozier,roziete01,29,MIA,PG,31,30,975,100.0,0.0,0.0,0.0,0.0,0.0,-2.7,26,12,25,1,31,12.0,347,8,29
2024,NBA,Rayan Rupert,ruperra01,19,POR,SG,39,12,633,5.0,51.0,43.0,0.0,0.0,-10.4,-1.2,14,11,38,3,11,3.0,154,1,21
2024,NBA,D'Angelo Russell,russeda01,27,LAL,PG,76,69,2484,100.0,0.0,0.0,0.0,0.0,2.5,5.7,106,30,75,10,76,20.0,1111,17,35
2024,NBA,Matt Ryan,ryanma01,26,NOP,SF,28,1,390,10.0,20.0,60.0,10.0,0.0,1.6,-3.4,8,4,17,2,5,1.0,42,2,1
2024,NBA,Domantas Sabonis,sabondo01,27,SAC,C,82,82,2928,0.0,0.0,0.0,0.0,100.0,0.7,-2.1,90,100,123,48,210,7.0,1679,56,86
2024,NBA,Luka Šamanić,samanlu01,24,UTA,PF,43,7,404,0.0,0.0,6.0,59.0,35.0,-6.1,-1.3,8,11,21,5,28,1.0,44,10,17
2024,NBA,Jermaine Samuels,samueje01,25,HOU,SF,14,0,60,0.0,0.0,56.0,41.0,2.0,-10.2,-11.5,0,0,1,0,0,0.0,8,0,2
2024,NBA,Adama Sanogo,sanogad01,21,CHI,PF,9,0,66,0.0,0.0,0.0,0.0,100.0,22.8,24.6,1,2,2,1,5,0.0,0,2,2
2024,NBA,Gui Santos,santogu01,21,GSW,PF,23,0,192,0.0,0.0,28.0,64.0,9.0,4.4,1.7,5,1,18,0,8,0.0,32,1,4
2024,NBA,Dario Šarić,saricda01,29,GSW,C,64,9,1098,0.0,0.0,0.0,0.0,100.0,-1.1,-5.3,40,19,75,10,42,6.0,344,9,25
2024,NBA,Olivier Sarr,sarrol01,24,OKC,C,15,0,98,0.0,0.0,0.0,0.0,100.0,1.1,-7.0,0,2,11,1,7,0.0,6,1,0
2024,NBA,Marcus Sasser,sassema01,23,DET,PG,71,11,1351,94.0,6.0,0.0,0.0,0.0,-9.5,-0.9,48,28,57,3,25,12.0,573,5,24
2024,NBA,Admiral Schofield,schofad01,26,ORL,PF,23,0,84,0.0,0.0,0.0,52.0,48.0,-7.7,-9.7,1,2,5,2,1,2.0,17,0,3
2024,NBA,Dennis Schröder,schrode01,30,2TM,PG,80,58,2486,100.0,0.0,0.0,0.0,0.0,-3.2,3.6,95,38,56,10,77,25.0,1168,16,66
2024,NBA,Dennis Schröder,schrode01,30,TOR,PG,51,33,1559,100.0,0.0,0.0,0.0,0.0,-1.4,8.3,50,18,33,8,54,18.0,749,11,40
2024,NBA,Dennis Schröder,schrode01,30,BRK,PG,29,25,927,100.0,0.0,0.0,0.0,0.0,-6.2,-4.2,45,20,23,2,23,7.0,419,5,26
2024,NBA,Dereon Seabron,seabrde01,23,NOP,SG,6,0,55,0.0,72.0,24.0,5.0,0.0,23.9,19.6,0,0,2,0,3,1.0,12,0,1
2024,NBA,Alperen Şengün,sengual01,21,HOU,C,63,63,2046,0.0,0.0,0.0,0.0,100.0,0.4,-1.7,60,59,118,20,158,22.0,759,40,75
2024,NBA,Brice Sensabaugh,sensabr01,20,UTA,SF,32,11,584,0.0,12.0,76.0,12.0,0.0,-13.8,-10.5,19,18,26,5,18,4.0,129,3,13
2024,NBA,Collin Sexton,sextoco01,25,UTA,SG,78,51,2075,14.0,78.0,8.0,0.0,0.0,-3.0,4.0,67,52,70,16,161,26.0,931,42,113
2024,NBA,Landry Shamet,shamela01,26,WAS,SG,46,5,726,36.0,64.0,1.0,0.0,0.0,-9.4,-0.2,16,9,39,2,24,7.0,136,11,21
2024,NBA,Day'Ron Sharpe,sharpda01,22,BRK,C,61,1,921,0.0,0.0,0.0,0.0,100.0,4.7,10.0,30,16,62,18,64,1.0,198,19,29
2024,NBA,Shaedon Sharpe,sharpsh01,20,POR,SG,32,25,1059,5.0,77.0,18.0,0.0,0.0,-10.7,-1.8,39,20,28,9,52,9.0,232,12,33
2024,NBA,Ben Sheppard,sheppbe01,22,IND,SG,57,1,814,10.0,68.0,23.0,0.0,0.0,5.4,3.0,8,3,50,3,10,5.0,124,3,14
2024,NBA,Pascal Siakam,siakapa01,29,2TM,PF,80,80,2657,0.0,0.0,5.0,87.0,8.0,1.7,5.3,57,40,70,25,209,8.0,843,65,47
2024,NBA,Pascal Siakam,siakapa01,29,TOR,PF,39,39,1354,0.0,0.0,1.0,85.0,14.0,-0.2,9.4,33,23,25,13,116,4.0,466,39,21
2024,NBA,Pascal Siakam,siakapa01,29,IND,PF,41,41,1303,0.0,0.0,9.0,90.0,1.0,3.7,1.1,24,17,45,12,93,4.0,377,26,26
2024,NBA,Ben Simmons,simmobe01,27,BRK,PG,15,12,359,61.0,38.0,1.0,0.0,0.0,-3.1,-0.2,17,4,15,4,5,3.0,217,1,3
2024,NBA,Kobi Simmons,simmoko01,26,TOR,PG,4,0,67,86.0,14.0,0.0,0.0,0.0,-24.6,-18.4,1,0,2,0,0,2.0,28,0,2
2024,NBA,Anfernee Simons,simonan01,24,POR,SG,46,46,1582,24.0,69.0,7.0,0.0,0.0,-10.3,-1.6,64,42,56,9,74,4.0,595,15,51
2024,NBA,Zavier Simpson,simpsza01,26,MEM,PG,7,0,161,100.0,0.0,0.0,0.0,0.0,-9.4,-2.2,8,2,8,0,2,0.0,63,0,7
2024,NBA,Jericho Sims,simsje01,25,NYK,C,45,11,585,0.0,0.0,0.0,0.0,100.0,-0.8,-6.5,6,3,23,7,13,2.0,60,6,2
2024,NBA,Dmytro Skapintsev,skapidm01,25,NYK,C,2,0,2,0.0,0.0,0.0,0.0,100.0,-25.0,-29.8,0,0,0,0,0,0.0,0,0,0
2024,NBA,Jalen Slawson,slawsja01,24,SAC,SF,12,0,37,0.0,10.0,73.0,17.0,0.0,-8.0,-9.4,1,0,4,1,0,0.0,5,0,0
2024,NBA,Javonte Smart,smartja01,24,PHI,PG,1,0,1,100.0,0.0,0.0,0.0,0.0,-300.0,-303.0,0,0,0,0,0,0.0,0,0,0
2024,NBA,Marcus Smart,smartma01,29,MEM,PG,20,20,605,66.0,34.0,0.0,0.0,0.0,-1.2,7.2,34,12,16,8,16,12.0,210,5,5
2024,NBA,Dennis Smith Jr.,smithde03,26,BRK,PG,56,2,1059,88.0,12.0,0.0,0.0,0.0,0.7,5.0,36,15,57,9,25,6.0,491,6,24
2024,NBA,Dru Smith,smithdr01,26,MIA,SG,9,0,131,72.0,28.0,0.0,0.0,0.0,-14.1,-16.7,5,0,6,0,1,3.0,33,0,1
2024,NBA,Ish Smith,smithis01,35,CHO,PG,43,5,741,100.0,0.0,0.0,0.0,0.0,-18.4,-9.6,33,11,40,1,1,7.0,346,0,7
2024,NBA,Jalen Smith,smithja04,23,IND,C,61,14,1047,0.0,0.0,0.0,17.0,83.0,-0.1,-4.3,13,17,82,8,48,5.0,139,16,13
2024,NBA,Jabari Smith Jr.,smithja05,20,HOU,PF,76,76,2424,0.0,0.0,0.0,68.0,32.0,-2.1,-8.2,35,29,110,13,89,3.0,295,19,56
2024,NBA,Nick Smith Jr.,smithni01,19,CHO,SG,51,0,729,39.0,56.0,5.0,0.0,0.0,-14.0,-4.1,23,8,30,2,7,3.0,149,1,12
2024,NBA,Terquavion Smith,smithte01,21,PHI,PG,16,0,84,99.0,2.0,0.0,0.0,0.0,-5.0,-8.1,5,2,4,0,2,0.0,26,1,3
2024,NBA,Jeremy Sochan,sochaje01,20,SAS,PF,74,73,2193,0.0,0.0,13.0,84.0,3.0,-7.4,-2.4,66,40,82,12,71,15.0,603,14,67
2024,NBA,Pat Spencer,spencpa01,27,GSW,PG,6,0,26,100.0,0.0,0.0,0.0,0.0,-13.8,-16.6,1,0,1,0,0,0.0,11,0,0
2024,NBA,Jaden Springer,sprinja01,21,2TM,SG,49,2,507,22.0,64.0,14.0,0.0,0.0,-0.4,-6.2,11,10,34,7,19,10.0,104,2,16
2024,NBA,Jaden Springer,sprinja01,21,PHI,SG,32,1,377,28.0,57.0,15.0,0.0,0.0,-6.2,-10.2,10,6,25,5,16,6.0,83,2,14
2024,NBA,Jaden Springer,sprinja01,21,BOS,SG,17,1,130,6.0,83.0,12.0,0.0,0.0,16.3,5.2,1,4,9,2,3,4.0,21,0,2
2024,NBA,Lamar Stevens,stevela01,26,2TM,PF,38,3,559,0.0,30.0,31.0,32.0,7.0,1.0,4.9,11,10,24,2,26,2.0,66,8,21
2024,NBA,Lamar Stevens,stevela01,26,BOS,PF,19,1,122,0.0,0.0,10.0,69.0,22.0,4.4,-7.0,3,6,7,0,6,0.0,20,1,3
2024,NBA,Lamar Stevens,stevela01,26,MEM,PF,19,2,437,0.0,38.0,37.0,22.0,3.0,0.0,8.2,8,4,17,2,20,2.0,46,7,18
2024,NBA,Isaiah Stewart,stewais01,22,DET,PF,46,45,1423,0.0,0.0,0.0,76.0,24.0,-4.1,7.4,13,18,42,14,43,4.0,170,10,17
2024,NBA,Julian Strawther,strawju01,21,DEN,SF,50,0,545,0.0,14.0,77.0,9.0,0.0,-8.4,-16.3,4,8,26,8,9,2.0,111,2,9
2024,NBA,Max Strus,strusma01,27,CLE,SF,70,70,2239,2.0,34.0,60.0,5.0,0.0,5.6,6.8,58,26,88,9,36,19.0,656,9,42
2024,NBA,Jalen Suggs,suggsja01,22,ORL,SG,75,75,2025,14.0,79.0,8.0,0.0,0.0,1.0,-1.6,68,33,105,13,65,35.0,491,16,26
2024,NBA,Cole Swider,swideco01,24,MIA,SF,18,0,87,0.0,49.0,40.0,11.0,0.0,-13.7,-16.1,3,4,3,0,1,0.0,10,0,0
2024,NBA,Jae'Sean Tate,tateja01,28,HOU,SF,65,9,1031,3.0,33.0,63.0,1.0,0.0,5.3,5.6,15,8,68,7,19,14.0,164,5,17
2024,NBA,Jayson Tatum,tatumja01,25,BOS,PF,74,74,2645,0.0,0.0,26.0,72.0,2.0,10.9,-1.2,91,53,54,32,208,4.0,922,44,61
2024,NBA,Terry Taylor,taylote01,24,CHI,PF,31,0,188,0.0,0.0,0.0,65.0,36.0,4.3,6.0,2,2,10,2,3,0.0,26,1,2
2024,NBA,Garrett Temple,templga01,37,TOR,SG,27,2,289,13.0,62.0,26.0,0.0,0.0,-14.2,-8.4,9,2,18,1,7,2.0,69,0,5
2024,NBA,Dalen Terry,terryda01,21,CHI,SG,59,2,681,1.0,36.0,56.0,7.0,0.0,2.6,4.8,19,4,41,3,17,3.0,188,3,5
2024,NBA,Daniel Theis,theisda01,31,2TM,C,60,3,1015,0.0,0.0,0.0,2.0,98.0,3.8,0.3,11,8,76,14,20,9.0,148,4,27
2024,NBA,Daniel Theis,theisda01,31,IND,C,1,0,8,0.0,0.0,0.0,100.0,0.0,-5.8,-8.9,0,0,0,0,0,1.0,0,0,1
2024,NBA,Daniel Theis,theisda01,31,LAC,C,59,3,1007,0.0,0.0,0.0,1.0,99.0,3.8,0.3,11,8,76,14,20,8.0,148,4,26
2024,NBA,Cam Thomas,thomaca02,22,BRK,SG,66,51,2075,10.0,68.0,21.0,1.0,0.0,-6.2,-6.7,44,40,69,9,155,15.0,458,35,78
2024,NBA,Isaiah Thomas,thomais02,34,PHO,PG,6,0,19,100.0,0.0,0.0,0.0,0.0,-24.4,-27.8,0,0,0,0,0,0.0,7,0,2
2024,NBA,Amen Thompson,thompam01,21,HOU,SF,62,23,1388,0.0,22.0,46.0,31.0,0.0,2.4,1.9,40,32,63,9,82,12.0,395,27,38
2024,NBA,Ausar Thompson,thompau01,21,DET,SF,63,38,1583,0.0,2.0,70.0,28.0,0.0,-5.6,5.5,36,35,75,5,61,23.0,288,15,33
2024,NBA,Klay Thompson,thompkl01,33,GSW,SF,77,63,2284,0.0,29.0,61.0,10.0,0.0,-0.5,-7.6,65,24,78,15,58,2.0,404,15,27
2024,NBA,Tristan Thompson,thomptr01,32,CLE,C,49,0,549,0.0,0.0,0.0,13.0,87.0,0.4,-2.6,6,8,23,9,16,0.0,129,3,12
2024,NBA,JT Thor,thorjt01,21,CHO,PF,63,3,781,0.0,1.0,7.0,64.0,28.0,-3.7,8.6,4,6,49,1,10,1.0,73,2,15
2024,NBA,Matisse Thybulle,thybuma01,26,POR,SF,65,19,1487,0.0,30.0,65.0,5.0,0.0,-7.5,3.1,24,9,47,3,14,14.0,212,2,12
2024,NBA,Xavier Tillman Sr.,tillmxa01,25,2TM,PF,54,15,974,0.0,0.0,0.0,43.0,57.0,-1.6,0.6,14,10,43,8,22,0.0,195,4,23
2024,NBA,Xavier Tillman Sr.,tillmxa01,25,MEM,C,34,13,700,0.0,0.0,0.0,39.0,62.0,-6.3,1.2,13,9,33,6,18,0.0,142,3,20
2024,NBA,Xavier Tillman Sr.,tillmxa01,25,BOS,PF,20,2,274,0.0,0.0,0.0,56.0,44.0,10.2,-1.1,1,1,10,2,4,0.0,53,1,3
2024,NBA,Jacob Toppin,toppija01,23,NYK,SF,9,0,38,0.0,0.0,37.0,63.0,0.0,-33.6,-38.7,0,0,2,0,1,0.0,8,0,1
2024,NBA,Obi Toppin,toppiob01,25,IND,PF,82,28,1730,0.0,0.0,0.0,89.0,11.0,4.0,1.9,32,15,76,14,49,4.0,297,16,30
2024,NBA,Juan Toscano-Anderson,toscaju01,30,SAC,SF,11,0,53,0.0,17.0,68.0,15.0,0.0,-1.4,-2.8,2,0,7,0,0,0.0,10,0,2
2024,NBA,Karl-Anthony Towns,townska01,28,MIN,PF,62,62,2026,0.0,0.0,0.0,63.0,37.0,6.4,-0.2,72,36,105,52,138,10.0,434,39,67
2024,NBA,Gary Trent Jr.,trentga02,25,TOR,SG,71,41,1994,4.0,76.0,19.0,1.0,0.0,-5.2,2.5,21,10,41,8,41,7.0,275,13,31
2024,NBA,Oscar Tshiebwe,tshieos01,24,IND,PF,8,0,42,0.0,0.0,0.0,21.0,79.0,11.8,8.9,0,0,3,0,4,0.0,5,0,4
2024,NBA,P.J. Tucker,tuckepj01,38,2TM,PF,31,10,486,0.0,0.0,50.0,44.0,6.0,-0.2,-4.5,5,0,29,1,2,5.0,42,1,2
2024,NBA,P.J. Tucker,tuckepj01,38,PHI,PF,3,3,66,0.0,0.0,88.0,12.0,0.0,22.9,20.2,1,0,7,0,0,1.0,0,0,0
2024,NBA,P.J. Tucker,tuckepj01,38,LAC,PF,28,7,420,0.0,0.0,44.0,50.0,7.0,-3.9,-8.3,4,0,22,1,2,4.0,42,1,2
2024,NBA,Myles Turner,turnemy01,27,IND,C,77,77,2076,0.0,0.0,0.0,0.0,100.0,4.7,3.5,21,34,133,43,165,10.0,233,45,42
2024,NBA,Hunter Tyson,tysonhu01,23,DEN,PF,18,0,48,0.0,0.0,16.0,69.0,16.0,4.7,-0.9,0,1,6,1,0,0.0,6,0,0
2024,NBA,Stanley Umude,umudest01,24,DET,SG,24,2,307,0.0,13.0,66.0,21.0,0.0,-10.6,-1.9,7,4,26,1,13,4.0,24,3,4
2024,NBA,Jonas Valančiūnas,valanjo01,31,NOP,C,82,82,1925,0.0,0.0,0.0,0.0,100.0,4.2,-1.0,30,22,116,41,100,2.0,403,17,47
2024,NBA,Jarred Vanderbilt,vandeja01,24,LAL,PF,29,6,581,0.0,14.0,68.0,18.0,1.0,4.6,4.9,11,7,22,5,20,11.0,86,6,13
2024,NBA,Fred VanVleet,vanvlfr01,29,HOU,PG,73,73,2684,84.0,16.0,0.0,0.0,0.0,3.0,5.4,84,30,85,8,82,27.0,1391,18,32
2024,NBA,Devin Vassell,vassede01,23,SAS,SG,68,62,2248,9.0,82.0,9.0,0.0,0.0,-6.4,-0.2,64,28,34,7,98,8.0,667,31,34
2024,NBA,Sasha Vezenkov,vezenal01,28,SAC,PF,42,0,511,0.0,0.0,30.0,64.0,6.0,0.7,-0.7,4,4,16,2,7,2.0,49,1,9
2024,NBA,Gabe Vincent,vincega01,27,LAL,PG,11,0,218,38.0,62.0,0.0,0.0,0.0,6.3,6.2,3,2,10,0,1,3.0,48,0,2
2024,NBA,Nikola Vučević,vucevni01,33,CHI,C,76,74,2610,0.0,0.0,0.0,8.0,92.0,-3.6,-6.3,54,37,124,19,59,3.0,623,19,48
2024,NBA,Tristan Vukcevic,vukcetr01,20,WAS,C,10,4,153,0.0,0.0,0.0,14.0,86.0,10.7,20.8,4,2,16,2,12,1.0,31,4,3
2024,NBA,Dean Wade,wadede01,27,CLE,PF,54,32,1108,0.0,0.0,7.0,88.0,5.0,10.1,10.5,8,8,53,1,10,12.0,106,2,3
2024,NBA,Franz Wagner,wagnefr01,22,ORL,SF,72,72,2337,0.0,4.0,85.0,11.0,0.0,4.3,6.2,61,48,74,18,143,34.0,635,34,77
2024,NBA,Moritz Wagner,wagnemo01,26,ORL,C,80,1,1415,0.0,0.0,0.0,1.0,100.0,2.5,1.1,19,34,62,33,112,27.0,235,36,40
2024,NBA,Ish Wainright,wainris01,29,2TM,SF,11,0,62,0.0,19.0,34.0,43.0,4.0,-2.0,4.1,1,0,3,1,1,0.0,2,0,0
2024,NBA,Ish Wainright,wainris01,29,POR,SF,7,0,46,0.0,19.0,34.0,47.0,0.0,-0.8,8.7,1,0,2,0,1,0.0,0,0,0
2024,NBA,Ish Wainright,wainris01,29,PHO,SF,4,0,16,0.0,21.0,34.0,31.0,15.0,-5.5,-8.8,0,0,1,1,0,0.0,2,0,0
2024,NBA,Jabari Walker,walkeja01,21,POR,SF,72,23,1700,0.0,2.0,35.0,58.0,6.0,-10.8,-2.5,17,26,80,13,81,13.0,168,21,63
2024,NBA,Jarace Walker,walkeja02,20,IND,PF,33,0,340,0.0,0.0,27.0,67.0,7.0,3.3,0.4,12,5,17,0,3,2.0,89,1,1
2024,NBA,Lonnie Walker IV,walkelo01,25,BRK,SG,58,0,1011,20.0,67.0,13.0,0.0,0.0,0.2,4.3,17,14,40,4,26,3.0,182,5,23
2024,NBA,Cason Wallace,wallaca01,20,OKC,SG,82,13,1692,29.0,36.0,34.0,1.0,0.0,5.7,-3.9,22,14,71,2,20,3.0,282,3,23
2024,NBA,Jordan Walsh,walshjo01,19,BOS,SF,9,1,83,0.0,20.0,69.0,12.0,0.0,30.2,19.3,0,1,4,1,1,1.0,13,0,0
2024,NBA,T.J. Warren,warretj01,30,MIN,SF,11,0,125,0.0,3.0,28.0,69.0,0.0,19.4,13.3,1,0,6,1,2,0.0,22,0,1
2024,NBA,P.J. Washington,washipj01,25,2TM,PF,73,45,2221,0.0,0.0,2.0,80.0,17.0,-3.0,2.8,50,24,109,15,72,9.0,336,22,42
2024,NBA,P.J. Washington,washipj01,25,CHO,PF,44,17,1286,0.0,0.0,3.0,68.0,28.0,-11.2,-0.9,37,16,72,10,46,7.0,232,17,27
2024,NBA,P.J. Washington,washipj01,25,DAL,PF,29,28,935,0.0,0.0,2.0,97.0,2.0,8.2,8.0,13,8,37,5,26,2.0,104,5,15
2024,NBA,TyTy Washington Jr.,washity02,22,MIL,PG,11,0,56,73.0,27.0,0.0,0.0,0.0,-11.3,-14.3,0,2,1,0,0,0.0,12,0,0
2024,NBA,Yuta Watanabe,watanyu01,29,2TM,SF,34,0,464,2.0,11.0,45.0,43.0,0.0,-8.5,-10.7,12,5,32,0,7,2.0,36,1,6
2024,NBA,Yuta Watanabe,watanyu01,29,PHO,SF,29,0,382,0.0,0.0,49.0,51.0,0.0,-5.9,-10.2,9,5,28,0,6,2.0,24,1,4
2024,NBA,Yuta Watanabe,watanyu01,29,MEM,SF,5,0,82,9.0,62.0,26.0,4.0,0.0,-20.3,-13.2,3,0,4,0,1,0.0,12,0,2
2024,NBA,Lindy Waters III,waterli01,26,OKC,SG,38,0,280,9.0,44.0,33.0,15.0,0.0,-7.5,-16.6,4,1,15,0,1,0.0,62,1,1
2024,NBA,Trendon Watford,watfotr01,23,BRK,PF,63,2,856,0.0,0.0,4.0,67.0,29.0,-3.8,-1.0,28,17,58,11,48,4.0,186,14,25
2024,NBA,Peyton Watson,watsope01,21,DEN,SF,80,4,1488,0.0,1.0,37.0,61.0,0.0,-0.2,-9.2,22,19,94,9,54,2.0,205,8,32
2024,NBA,Victor Wembanyama,wembavi01,20,SAS,C,71,71,2106,0.0,0.0,0.0,0.0,100.0,-3.1,7.0,123,90,90,17,173,17.0,620,45,27
2024,NBA,Blake Wesley,weslebl01,20,SAS,SG,61,3,876,37.0,57.0,6.0,0.0,0.0,-7.9,-1.9,38,9,51,3,41,0.0,415,6,15
2024,NBA,Russell Westbrook,westbru01,35,LAC,PG,68,11,1529,93.0,7.0,0.0,0.0,0.0,4.4,1.4,95,35,47,6,81,6.0,697,19,43
2024,NBA,Coby White,whiteco01,23,CHI,PG,79,78,2881,85.0,15.0,0.0,0.0,0.0,-0.8,2.1,73,58,99,12,113,50.0,983,25,66
2024,NBA,Dariq Whitehead,whiteda01,19,BRK,SF,2,0,24,0.0,12.0,88.0,0.0,0.0,-51.8,-49.2,0,0,0,0,1,0.0,7,0,1
2024,NBA,Derrick White,whitede01,29,BOS,SG,73,73,2381,20.0,77.0,4.0,0.0,0.0,12.4,2.9,69,21,79,13,73,27.0,910,19,28
2024,NBA,Jack White,whiteja03,26,MEM,SF,4,0,64,0.0,7.0,39.0,45.0,9.0,-22.3,-15.2,2,0,3,0,0,0.0,3,0,0
2024,NBA,Cam Whitmore,whitmca01,19,HOU,SF,47,2,880,0.0,2.0,49.0,46.0,3.0,-1.5,-3.5,16,20,34,6,55,1.0,74,8,33
2024,NBA,Aaron Wiggins,wiggiaa01,25,OKC,SG,78,4,1228,13.0,49.0,28.0,10.0,0.0,7.5,-0.6,24,21,57,5,38,5.0,201,9,33
2024,NBA,Andrew Wiggins,wiggian01,28,GSW,SF,71,59,1920,0.0,0.0,66.0,34.0,0.0,-0.6,-6.5,33,34,77,9,95,11.0,312,13,45
2024,NBA,Lindell Wigginton,wiggili01,25,MIL,PG,3,0,8,100.0,0.0,0.0,0.0,0.0,-52.7,-55.6,1,0,1,0,1,0.0,0,0,0
2024,NBA,Alondes Williams,willial06,24,MIA,SG,7,0,16,61.0,39.0,0.0,0.0,0.0,-57.1,-59.4,0,2,1,0,1,0.0,0,1,1
2024,NBA,Brandon Williams,willibr03,24,DAL,PG,17,0,113,100.0,0.0,0.0,0.0,0.0,-22.6,-25.5,5,1,4,0,10,3.0,38,3,5
2024,NBA,Grant Williams,willigr01,25,2TM,PF,76,43,2130,0.0,0.0,13.0,67.0,20.0,-5.1,-3.0,39,29,111,26,57,30.0,424,16,28
2024,NBA,Grant Williams,willigr01,25,DAL,PF,47,33,1242,0.0,0.0,1.0,84.0,15.0,-3.7,-8.4,16,17,70,12,23,9.0,206,6,16
2024,NBA,Grant Williams,willigr01,25,CHO,PF,29,10,888,0.0,1.0,29.0,43.0,27.0,-7.1,4.5,23,12,41,14,34,21.0,218,10,12
2024,NBA,Jalen Williams,willija06,22,OKC,PF,71,71,2223,0.0,1.0,14.0,83.0,2.0,8.6,1.5,56,42,85,12,105,21.0,783,22,51
2024,NBA,Jaylin Williams,willija07,21,OKC,C,69,1,897,0.0,0.0,0.0,10.0,90.0,7.2,-0.9,21,4,55,7,19,20.0,269,5,10
2024,NBA,Jeenathan Williams,willije02,24,HOU,SG,22,0,129,23.0,74.0,3.0,0.0,0.0,9.6,8.8,2,0,7,0,8,0.0,16,3,8
2024,NBA,Kenrich Williams,willike04,29,OKC,PF,69,1,1029,0.0,1.0,5.0,60.0,33.0,10.2,3.0,19,8,59,4,3,18.0,230,0,18
2024,NBA,Mark Williams,willima07,22,CHO,C,19,19,508,0.0,0.0,0.0,0.0,100.0,-0.8,11.3,5,2,26,7,30,0.0,57,4,18
2024,NBA,Malik Williams,willima11,25,TOR,C,7,2,107,0.0,0.0,0.0,0.0,100.0,-23.6,-17.6,1,0,7,2,1,0.0,5,0,7
2024,NBA,Patrick Williams,willipa01,22,CHI,PF,43,30,1174,0.0,0.0,0.0,93.0,7.0,-0.7,1.1,25,22,45,4,33,2.0,166,4,28
2024,NBA,Robert Williams,williro04,26,POR,C,6,0,119,0.0,0.0,0.0,18.0,82.0,-12.2,-3.0,2,2,12,2,5,0.0,12,3,4
2024,NBA,Vince Williams Jr.,willivi01,23,MEM,SG,52,33,1436,43.0,55.0,2.0,0.0,0.0,-3.3,6.3,48,27,49,6,45,28.0,430,5,22
2024,NBA,Zion Williamson,willizi01,23,NOP,PF,70,70,2207,0.0,0.0,1.0,86.0,14.0,2.4,-5.2,78,75,90,28,271,3.0,924,79,121
2024,NBA,Ziaire Williams,willizi02,22,MEM,SF,51,15,1038,0.0,23.0,69.0,8.0,0.0,-10.9,-4.9,30,21,46,4,33,20.0,178,6,27
2024,NBA,D.J. Wilson,wilsodj01,27,PHI,PF,2,0,15,0.0,0.0,0.0,16.0,84.0,7.1,4.2,0,0,0,0,0,0.0,4,0,1
2024,NBA,Jalen Wilson,wilsoja03,23,BRK,PF,43,3,664,0.0,8.0,38.0,48.0,5.0,0.2,3.8,3,8,29,4,17,2.0,108,5,11
2024,NBA,Dylan Windler,windldy01,27,3TM,SF,17,0,108,0.0,2.0,24.0,74.0,0.0,-8.2,-7.3,1,0,5,0,0,0.0,24,0,0
2024,NBA,Dylan Windler,windldy01,27,NYK,SF,3,0,7,0.0,0.0,0.0,100.0,0.0,59.5,54.9,0,0,1,0,0,0.0,3,0,0
2024,NBA,Dylan Windler,windldy01,27,LAL,SF,8,0,28,0.0,7.0,50.0,43.0,0.0,-4.0,-4.4,0,0,2,0,0,0.0,14,0,0
2024,NBA,Dylan Windler,windldy01,27,ATL,SF,6,0,73,0.0,0.0,17.0,83.0,0.0,-16.4,-14.4,1,0,2,0,0,0.0,7,0,0
2024,NBA,James Wiseman,wisemja01,22,DET,C,63,6,1091,0.0,0.0,0.0,0.0,100.0,-14.1,-7.2,13,14,87,29,53,2.0,123,18,20
2024,NBA,Isaiah Wong,wongis01,23,IND,SG,1,0,4,100.0,0.0,0.0,0.0,0.0,-62.5,-65.6,0,0,0,0,0,0.0,0,0,0
2024,NBA,Christian Wood,woodch01,28,LAL,PF,50,1,872,0.0,0.0,46.0,51.0,3.0,0.4,0.0,16,18,48,12,43,2.0,110,10,12
2024,NBA,Delon Wright,wrighde01,31,2TM,PG,47,1,742,86.0,14.0,0.0,0.0,0.0,1.8,7.3,5,7,19,2,18,6.0,297,3,11
2024,NBA,Delon Wright,wrighde01,31,WAS,PG,33,0,456,95.0,5.0,0.0,0.0,0.0,-4.6,5.3,4,5,12,2,12,6.0,204,3,11
2024,NBA,Delon Wright,wrighde01,31,MIA,PG,14,1,286,71.0,29.0,0.0,0.0,0.0,11.8,10.6,1,2,7,0,6,0.0,93,0,0
2024,NBA,Thaddeus Young,youngth01,35,2TM,PF,33,6,439,0.0,0.0,2.0,17.0,81.0,-4.8,-0.2,7,6,30,1,6,4.0,126,3,10
2024,NBA,Thaddeus Young,youngth01,35,TOR,PF,23,6,350,0.0,0.0,0.0,4.0,96.0,-5.2,1.3,5,5,24,1,5,4.0,111,2,8
2024,NBA,Thaddeus Young,youngth01,35,PHO,PF,10,0,89,0.0,0.0,11.0,67.0,23.0,-3.0,-6.4,2,1,6,0,1,0.0,15,1,2
