season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,e_fg_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
2024,NBA,Harry Giles,gilesha01,25,2TM,C,23,0.0,100,11.3,24.6,0.46,1.5,6.9,0.214,9.8,17.7,0.556,0.49,3.4,6.4,0.538,5.9,8.8,14.7,2.9,1.0,1.5,2.9,7.4,27.5,103.0,115.0
2024,NBA,Harry Giles,gilesha01,25,BRK,C,16,0.0,81,13.5,26.9,0.5,1.8,6.7,0.273,11.6,20.2,0.576,0.534,4.3,7.9,0.538,7.3,8.6,15.9,3.7,0.6,1.8,3.7,9.2,33.0,109.0,116.0
2024,NBA,Harry Giles,gilesha01,25,LAL,C,7,0.0,19,2.5,15.0,0.167,0.0,7.5,0.0,2.5,7.5,0.333,0.167,0.0,0.0,,0.0,10.0,10.0,0.0,2.5,0.0,0.0,0.0,5.0,37.0,113.0
2024,NBA,Shai Gilgeous-Alexander,gilgesh01,25,OKC,PG,75,75.0,2553,15.0,28.0,0.535,1.8,5.1,0.353,13.2,22.9,0.576,0.567,10.7,12.2,0.874,1.2,6.6,7.8,8.8,2.8,1.3,3.1,3.5,42.4,129.0,110.0
2024,NBA,Anthony Gill,gillan01,31,WAS,PF,50,3.0,466,7.5,16.1,0.469,1.0,4.1,0.244,6.5,11.9,0.546,0.5,2.9,3.6,0.806,3.7,5.7,9.4,3.4,1.3,1.1,2.3,4.8,19.0,109.0,120.0
2024,NBA,Collin Gillespie,gilleco01,24,DEN,PG,24,0.0,225,7.0,15.2,0.464,3.3,8.4,0.395,3.7,6.8,0.548,0.572,1.8,2.6,0.667,0.2,4.4,4.6,5.9,2.9,0.0,3.1,5.3,19.2,109.0,113.0
2024,NBA,Jacob Gilyard,gilyaja01,25,2TM,PG,41,14.0,699,4.2,10.5,0.4,3.6,8.8,0.405,0.6,1.7,0.375,0.57,0.1,0.1,1.0,0.6,2.6,3.2,9.6,2.3,0.3,2.1,2.7,12.1,122.0,117.0
2024,NBA,Jacob Gilyard,gilyaja01,25,MEM,PG,37,14.0,654,4.5,10.8,0.417,3.8,9.0,0.425,0.7,1.8,0.375,0.594,0.1,0.1,1.0,0.6,2.6,3.2,9.8,2.0,0.4,2.2,2.6,12.9,124.0,117.0
2024,NBA,Jacob Gilyard,gilyaja01,25,BRK,PG,4,0.0,45,0.0,6.6,0.0,0.0,6.6,0.0,0.0,0.0,,0.0,0.0,0.0,,1.1,2.2,3.3,6.6,6.6,0.0,1.1,4.4,0.0,58.0,109.0
2024,NBA,Rudy Gobert,goberru01,31,MIN,C,76,76.0,2593,7.7,11.7,0.661,0.0,0.1,0.0,7.7,11.6,0.664,0.661,4.7,7.4,0.638,5.4,13.3,18.7,1.9,1.0,3.1,2.2,4.5,20.2,131.0,104.0
2024,NBA,Jordan Goodwin,goodwjo01,25,2TM,PG,57,12.0,1055,6.5,17.7,0.369,1.9,6.5,0.298,4.6,11.2,0.411,0.424,2.0,2.7,0.746,4.1,7.6,11.7,7.2,2.2,0.8,2.6,3.5,17.0,105.0,113.0
2024,NBA,Jordan Goodwin,goodwjo01,25,PHO,PG,40,0.0,558,6.6,16.9,0.389,2.0,7.0,0.288,4.6,9.9,0.46,0.448,2.2,2.5,0.862,3.5,6.7,10.2,6.8,2.0,0.8,2.5,3.8,17.3,109.0,114.0
2024,NBA,Jordan Goodwin,goodwjo01,25,MEM,PG,17,12.0,497,6.5,18.6,0.349,1.9,6.0,0.311,4.6,12.6,0.367,0.399,1.9,3.0,0.633,4.7,8.7,13.4,7.6,2.5,0.9,2.7,3.2,16.7,100.0,112.0
2024,NBA,Aaron Gordon,gordoaa01,28,DEN,PF,73,73.0,2297,8.6,15.5,0.556,0.9,3.0,0.29,7.7,12.5,0.619,0.584,3.8,5.8,0.658,3.8,6.4,10.2,5.6,1.2,1.0,2.3,3.1,21.9,125.0,114.0
2024,NBA,Eric Gordon,gordoer01,35,PHO,SG,68,24.0,1893,7.1,15.9,0.443,3.9,10.2,0.378,3.2,5.7,0.561,0.565,1.3,1.7,0.797,0.4,2.7,3.1,3.6,1.7,0.8,1.9,2.0,19.3,112.0,117.0
2024,NBA,Devonte' Graham,grahade01,28,SAS,PG,23,0.0,313,5.8,16.4,0.352,3.8,12.6,0.301,2.0,3.8,0.52,0.468,2.0,2.4,0.813,0.8,4.7,5.5,7.4,1.4,0.3,2.6,2.1,17.3,104.0,119.0
