season,lg,type,number_tm,position,player,player_id,age,pts_won,pts_max,share,x1st_tm,x2nd_tm,x3rd_tm
2024,nba,all_defense,ORV,C,Myles Turner,turnemy01,27,1.0,198.0,0.005,,,
2023,nba,all_defense,1st,F,Jaren Jackson Jr.,jacksja02,23,195.0,200.0,0.975,,,
2023,nba,all_defense,1st,G,Jrue Holiday,holidjr01,32,192.0,200.0,0.96,,,
2023,nba,all_defense,1st,C,Brook Lopez,lopezbr01,34,181.0,200.0,0.905,,,
2023,nba,all_defense,1st,F,Evan Mobley,mobleev01,21,132.0,200.0,0.66,,,
2023,nba,all_defense,1st,G,Alex Caruso,carusal01,28,125.0,200.0,0.625,,,
2023,nba,all_defense,2nd,G,Derrick White,whitede01,28,99.0,200.0,0.495,,,
2023,nba,all_defense,2nd,F,Draymond Green,greendr01,32,89.0,200.0,0.445,,,
2023,nba,all_defense,2nd,F,OG Anunoby,anunoog01,25,81.0,200.0,0.405,,,
2023,nba,all_defense,2nd,G,Dillon Brooks,brookdi01,27,54.0,200.0,0.27,,,
2023,nba,all_defense,2nd,C,Bam Adebayo,adebaba01,25,53.0,200.0,0.265,,,
2023,nba,all_defense,ORV,F,Giannis Antetokounmpo,antetgi01,28,60.0,200.0,0.3,,,
2023,nba,all_defense,ORV,F,Jaden McDaniels,mcdanja02,22,40.0,200.0,0.2,,,
2023,nba,all_defense,ORV,G,Marcus Smart,smartma01,28,35.0,200.0,0.175,,,
2023,nba,all_defense,ORV,G,Mikal Bridges,bridgmi01,26,33.0,200.0,0.165,,,
2023,nba,all_defense,ORV,C,Nic Claxton,claxtni01,23,25.0,200.0,0.125,,,
2023,nba,all_defense,ORV,G,Jimmy Butler,butleji01,33,23.0,200.0,0.115,,,
2023,nba,all_defense,ORV,C,Joel Embiid,embiijo01,28,15.0,200.0,0.075,,,
2023,nba,all_defense,ORV,G,Herbert Jones,joneshe01,24,15.0,200.0,0.075,,,
2023,nba,all_defense,ORV,F,Anthony Davis,davisan02,29,9.0,200.0,0.045,,,
2023,nba,all_defense,ORV,G,Luguentz Dort,dortlu01,23,9.0,200.0,0.045,,,
2023,nba,all_defense,ORV,G,Jaylen Brown,brownja02,26,4.0,200.0,0.02,,,
2023,nba,all_defense,ORV,G,Anthony Edwards,edwaran01,21,4.0,200.0,0.02,,,
2023,nba,all_defense,ORV,G,Matisse Thybulle,thybuma01,25,4.0,200.0,0.02,,,
2023,nba,all_defense,ORV,C,Jarrett Allen,allenja01,24,3.0,200.0,0.015,,,
2023,nba,all_defense,ORV,G,Shai Gilgeous-Alexander,gilgesh01,24,3.0,200.0,0.015,,,
2023,nba,all_defense,ORV,G,Dejounte Murray,murrade01,26,3.0,200.0,0.015,,,
2023,nba,all_defense,ORV,G,Paul George,georgpa01,32,2.0,200.0,0.01,,,
2023,nba,all_defense,ORV,G,Tyrese Haliburton,halibty01,22,2.0,200.0,0.01,,,
2023,nba,all_defense,ORV,F,Desmond Bane,banede01,24,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,F,Scottie Barnes,barnesc01,21,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,G,Patrick Beverley,beverpa01,34,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,F,Kevin Durant,duranke01,34,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,F,Aaron Gordon,gordoaa01,27,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,C,Walker Kessler,kesslwa01,21,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,G,De'Anthony Melton,meltode01,24,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,G,Chris Paul,paulch01,37,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,F,P.J. Tucker,tuckepj01,37,1.0,200.0,0.005,,,
2023,nba,all_defense,ORV,G,Delon Wright,wrighde01,30,1.0,200.0,0.005,,,
2022,nba,all_defense,1st,G,Marcus Smart,smartma01,27,198.0,200.0,0.99,,,
2022,nba,all_defense,1st,G,Mikal Bridges,bridgmi01,25,193.0,200.0,0.965,,,
2022,nba,all_defense,1st,C,Rudy Gobert,goberru01,29,171.0,200.0,0.855,,,
2022,nba,all_defense,1st,F,Giannis Antetokounmpo,antetgi01,27,156.0,200.0,0.78,,,
2022,nba,all_defense,1st,F,Jaren Jackson Jr.,jacksja02,22,153.0,200.0,0.765,,,
2022,nba,all_defense,2nd,F,Bam Adebayo,adebaba01,24,152.0,200.0,0.76,,,
2022,nba,all_defense,2nd,G,Jrue Holiday,holidjr01,31,89.0,200.0,0.445,,,
2022,nba,all_defense,2nd,G,Matisse Thybulle,thybuma01,24,87.0,200.0,0.435,,,
2022,nba,all_defense,2nd,C,Robert Williams,williro04,24,70.0,200.0,0.35,,,
2022,nba,all_defense,2nd,F,Draymond Green,greendr01,31,34.0,200.0,0.17,,,
2022,nba,all_defense,ORV,G,Fred VanVleet,vanvlfr01,27,41.0,200.0,0.205,,,
2022,nba,all_defense,ORV,C,Joel Embiid,embiijo01,27,33.0,200.0,0.165,,,
2022,nba,all_defense,ORV,G,Dejounte Murray,murrade01,25,24.0,200.0,0.12,,,
2022,nba,all_defense,ORV,G,Chris Paul,paulch01,36,21.0,200.0,0.105,,,
2022,nba,all_defense,ORV,F,Evan Mobley,mobleev01,20,13.0,200.0,0.065,,,
2022,nba,all_defense,ORV,F,Herbert Jones,joneshe01,23,10.0,200.0,0.05,,,
2022,nba,all_defense,ORV,G,Patrick Beverley,beverpa01,33,9.0,200.0,0.045,,,
2022,nba,all_defense,ORV,F,Dorian Finney-Smith,finnedo01,28,7.0,200.0,0.035,,,
2022,nba,all_defense,ORV,G,Kyle Lowry,lowryky01,35,6.0,200.0,0.03,,,
2022,nba,all_defense,ORV,G,Jimmy Butler,butleji01,32,5.0,200.0,0.025,,,
2022,nba,all_defense,ORV,G,Alex Caruso,carusal01,27,5.0,200.0,0.025,,,
2022,nba,all_defense,ORV,F,Jayson Tatum,tatumja01,23,4.0,200.0,0.02,,,
2022,nba,all_defense,ORV,G,Gary Payton II,paytoga02,29,3.0,200.0,0.015,,,
2022,nba,all_defense,ORV,G,Derrick White,whitede01,27,3.0,200.0,0.015,,,
2022,nba,all_defense,ORV,G,Scottie Barnes,barnesc01,20,2.0,200.0,0.01,,,
2022,nba,all_defense,ORV,F,Jaylen Brown,brownja02,25,2.0,200.0,0.01,,,
2022,nba,all_defense,ORV,C,Al Horford,horfoal01,35,2.0,200.0,0.01,,,
2022,nba,all_defense,ORV,C,Jarrett Allen,allenja01,23,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,F,OG Anunoby,anunoog01,24,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,C,Deandre Ayton,aytonde01,23,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,G,Desmond Bane,banede01,23,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,G,Devin Booker,bookede01,25,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,G,Ayo Dosunmu,dosunay01,22,1.0,200.0,0.005,,,
2022,nba,all_defense,ORV,F,Kevin Durant,duranke01,33,1.0,200.0,0.005,,,
