season,lg,player,player_id,age,team,pos,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,trp_dbl
2024,NBA,Jose Alvarado,alvarjo01,25.0,NOP,PG,56,0.0,1028.0,142,345,0.412,78.0,207.0,0.377,64.0,138.0,0.464,0.525,35,52,0.673,25.0,103.0,128.0,117,59.0,15.0,40.0,89.0,397,0.0
2024,NBA,Kyle Anderson,anderky01,30.0,MIN,PF,79,10.0,1782.0,199,433,0.46,11.0,48.0,0.229,188.0,385.0,0.488,0.472,97,137,0.708,60.0,213.0,273.0,331,71.0,47.0,91.0,128.0,506,0.0
2024,NBA,Giannis Antetokounmpo,antetgi01,29.0,MIL,PF,73,73.0,2567.0,837,1369,0.611,34.0,124.0,0.274,803.0,1245.0,0.645,0.624,514,782,0.657,196.0,645.0,841.0,476,87.0,79.0,250.0,210.0,2222,10.0
2024,NBA,Thanasis Antetokounmpo,antetth01,31.0,MIL,PF,34,0.0,155.0,16,30,0.533,0.0,1.0,0.0,16.0,29.0,0.552,0.533,0,2,0.0,7.0,6.0,13.0,17,7.0,4.0,14.0,24.0,32,0.0
2024,NBA,Cole Anthony,anthoco01,23.0,ORL,PG,81,0.0,1817.0,332,763,0.435,93.0,275.0,0.338,239.0,488.0,0.49,0.496,180,218,0.826,64.0,247.0,311.0,236,64.0,37.0,126.0,175.0,937,0.0
2024,NBA,OG Anunoby,anunoog01,26.0,2TM,SF,50,50.0,1702.0,282,577,0.489,102.0,267.0,0.382,180.0,310.0,0.581,0.577,67,89,0.753,47.0,161.0,208.0,107,68.0,36.0,81.0,119.0,733,0.0
2024,NBA,OG Anunoby,anunoog01,26.0,TOR,SF,27,27.0,900.0,157,321,0.489,61.0,163.0,0.374,96.0,158.0,0.608,0.584,33,46,0.717,24.0,82.0,106.0,72,28.0,13.0,43.0,62.0,408,0.0
2024,NBA,OG Anunoby,anunoog01,26.0,NYK,SF,23,23.0,802.0,125,256,0.488,41.0,104.0,0.394,84.0,152.0,0.553,0.568,34,43,0.791,23.0,79.0,102.0,35,40.0,23.0,38.0,57.0,325,0.0
2024,NBA,Ryan Arcidiacono,arcidry01,29.0,NYK,PG,20,0.0,45.0,0,6,0.0,0.0,6.0,0.0,0.0,0.0,,0.0,0,0,,0.0,8.0,8.0,4,2.0,0.0,2.0,5.0,0,0.0
2024,NBA,Deni Avdija,avdijde01,23.0,WAS,SF,75,75.0,2257.0,406,803,0.506,88.0,235.0,0.374,318.0,568.0,0.56,0.56,202,273,0.74,84.0,456.0,540.0,286,60.0,36.0,160.0,185.0,1102,0.0
2024,NBA,Deandre Ayton,aytonde01,25.0,POR,C,55,55.0,1784.0,427,749,0.57,1.0,10.0,0.1,426.0,739.0,0.576,0.571,65,79,0.823,176.0,433.0,609.0,90,56.0,42.0,99.0,109.0,920,0.0
2024,NBA,Udoka Azubuike,azubuud01,24.0,PHO,C,16,0.0,113.0,16,23,0.696,0.0,0.0,,16.0,23.0,0.696,0.696,3,13,0.231,11.0,21.0,32.0,3,1.0,6.0,4.0,17.0,35,0.0
2024,NBA,Ibou Badji,badjiib01,21.0,POR,C,22,1.0,226.0,14,22,0.636,0.0,0.0,,14.0,22.0,0.636,0.636,6,12,0.5,20.0,31.0,51.0,13,3.0,20.0,15.0,46.0,34,0.0
2024,NBA,Marvin Bagley III,baglema01,24.0,2TM,C,50,25.0,1053.0,239,408,0.586,9.0,23.0,0.391,230.0,385.0,0.597,0.597,96,126,0.762,130.0,182.0,312.0,55,20.0,33.0,59.0,81.0,583,0.0
2024,NBA,Marvin Bagley III,baglema01,24.0,DET,C,26,10.0,478.0,107,181,0.591,1.0,6.0,0.167,106.0,175.0,0.606,0.594,50,61,0.82,46.0,72.0,118.0,27,5.0,14.0,29.0,40.0,265,0.0
2024,NBA,Marvin Bagley III,baglema01,24.0,WAS,C,24,15.0,575.0,132,227,0.581,8.0,17.0,0.471,124.0,210.0,0.59,0.599,46,65,0.708,84.0,110.0,194.0,28,15.0,19.0,30.0,41.0,318,0.0
2024,NBA,Amari Bailey,baileam01,19.0,CHO,PG,10,0.0,65.0,8,24,0.333,1.0,8.0,0.125,7.0,16.0,0.438,0.354,6,7,0.857,6.0,3.0,9.0,7,3.0,0.0,4.0,2.0,23,0.0
2024,NBA,Patrick Baldwin Jr.,baldwpa01,21.0,WAS,SF,38,7.0,493.0,59,155,0.381,31.0,97.0,0.32,28.0,58.0,0.483,0.481,19,28,0.679,17.0,106.0,123.0,29,18.0,15.0,19.0,56.0,168,0.0
2024,NBA,LaMelo Ball,ballla01,22.0,CHO,PG,22,22.0,711.0,183,423,0.433,70.0,197.0,0.355,113.0,226.0,0.5,0.515,90,104,0.865,29.0,84.0,113.0,176,40.0,4.0,83.0,79.0,526,1.0
2024,NBA,Mo Bamba,bambamo01,25.0,PHI,C,57,17.0,740.0,97,198,0.49,25.0,64.0,0.391,72.0,134.0,0.537,0.553,34,50,0.68,77.0,161.0,238.0,41,22.0,60.0,39.0,101.0,253,0.0
2024,NBA,Paolo Banchero,banchpa01,21.0,ORL,PF,80,80.0,2799.0,640,1407,0.455,119.0,351.0,0.339,521.0,1056.0,0.493,0.497,405,559,0.725,82.0,472.0,554.0,431,71.0,47.0,247.0,153.0,1804,2.0
2024,NBA,Desmond Bane,banede01,25.0,MEM,SG,42,42.0,1443.0,360,776,0.464,137.0,360.0,0.381,223.0,416.0,0.536,0.552,140,161,0.87,36.0,149.0,185.0,230,43.0,22.0,112.0,120.0,997,0.0
2024,NBA,Dalano Banton,bantoda01,24.0,2TM,PG,54,9.0,1047.0,202,500,0.404,59.0,199.0,0.296,143.0,301.0,0.475,0.463,94,120,0.783,41.0,137.0,178.0,127,33.0,20.0,77.0,64.0,557,0.0
2024,NBA,Dalano Banton,bantoda01,24.0,BOS,PG,24,1.0,171.0,19,51,0.373,2.0,16.0,0.125,17.0,35.0,0.486,0.392,16,20,0.8,12.0,23.0,35.0,19,5.0,3.0,10.0,20.0,56,0.0
2024,NBA,Dalano Banton,bantoda01,24.0,POR,PG,30,8.0,876.0,183,449,0.408,57.0,183.0,0.311,126.0,266.0,0.474,0.471,78,100,0.78,29.0,114.0,143.0,108,28.0,17.0,67.0,44.0,501,0.0
2024,NBA,Dominick Barlow,barlodo01,20.0,SAS,PF,33,1.0,420.0,56,113,0.496,3.0,9.0,0.333,53.0,104.0,0.51,0.509,29,42,0.69,45.0,68.0,113.0,36,12.0,14.0,9.0,47.0,144,0.0
2024,NBA,Harrison Barnes,barneha02,31.0,SAC,PF,82,82.0,2381.0,347,732,0.474,149.0,385.0,0.387,198.0,347.0,0.571,0.576,157,196,0.801,67.0,182.0,249.0,99,54.0,12.0,58.0,98.0,1000,0.0
2024,NBA,Scottie Barnes,barnesc01,22.0,TOR,SG,60,60.0,2094.0,447,942,0.475,101.0,296.0,0.341,346.0,646.0,0.536,0.528,196,251,0.781,141.0,353.0,494.0,363,75.0,88.0,165.0,118.0,1191,4.0
2024,NBA,RJ Barrett,barrerj01,23.0,2TM,SG,58,58.0,1838.0,436,880,0.495,90.0,250.0,0.36,346.0,630.0,0.549,0.547,208,291,0.715,53.0,262.0,315.0,193,31.0,22.0,126.0,129.0,1170,0.0
2024,NBA,RJ Barrett,barrerj01,23.0,NYK,SG,26,26.0,766.0,164,388,0.423,43.0,130.0,0.331,121.0,258.0,0.469,0.478,103,124,0.831,19.0,92.0,111.0,63,12.0,9.0,47.0,45.0,474,0.0
2024,NBA,RJ Barrett,barrerj01,23.0,TOR,SG,32,32.0,1072.0,272,492,0.553,47.0,120.0,0.392,225.0,372.0,0.605,0.601,105,167,0.629,34.0,170.0,204.0,130,19.0,13.0,79.0,84.0,696,0.0
2024,NBA,Charles Bassey,bassech01,23.0,SAS,C,19,0.0,205.0,29,40,0.725,0.0,1.0,0.0,29.0,39.0,0.744,0.725,5,6,0.833,23.0,53.0,76.0,21,8.0,17.0,15.0,31.0,63,0.0
2024,NBA,Emoni Bates,batesem01,20.0,CLE,SF,15,0.0,133.0,15,49,0.306,10.0,33.0,0.303,5.0,16.0,0.313,0.408,1,4,0.25,1.0,13.0,14.0,10,1.0,2.0,8.0,5.0,41,0.0
2024,NBA,Keita Bates-Diop,bateske01,28.0,2TM,SF,53,8.0,665.0,72,166,0.434,21.0,69.0,0.304,51.0,97.0,0.526,0.497,32,42,0.762,31.0,79.0,110.0,38,25.0,22.0,15.0,35.0,197,0.0
2024,NBA,Keita Bates-Diop,bateske01,28.0,PHO,SF,39,8.0,597.0,64,150,0.427,20.0,64.0,0.313,44.0,86.0,0.512,0.493,26,36,0.722,30.0,71.0,101.0,34,22.0,20.0,13.0,33.0,174,0.0
2024,NBA,Keita Bates-Diop,bateske01,28.0,BRK,SF,14,0.0,68.0,8,16,0.5,1.0,5.0,0.2,7.0,11.0,0.636,0.531,6,6,1.0,1.0,8.0,9.0,4,3.0,2.0,2.0,2.0,23,0.0
2024,NBA,Nicolas Batum,batumni01,35.0,2TM,PF,60,38.0,1529.0,116,256,0.453,73.0,185.0,0.395,43.0,71.0,0.606,0.596,15,21,0.714,70.0,178.0,248.0,128,48.0,38.0,40.0,109.0,320,0.0
2024,NBA,Nicolas Batum,batumni01,35.0,LAC,PF,3,0.0,54.0,3,8,0.375,2.0,7.0,0.286,1.0,1.0,1.0,0.5,0,0,,0.0,7.0,7.0,5,3.0,4.0,1.0,5.0,8,0.0
2024,NBA,Nicolas Batum,batumni01,35.0,PHI,PF,57,38.0,1475.0,113,248,0.456,71.0,178.0,0.399,42.0,70.0,0.6,0.599,15,21,0.714,70.0,171.0,241.0,123,45.0,34.0,39.0,104.0,312,0.0
2024,NBA,Darius Bazley,bazleda01,23.0,2TM,PF,9,0.0,152.0,18,30,0.6,2.0,8.0,0.25,16.0,22.0,0.727,0.633,10,12,0.833,8.0,20.0,28.0,7,6.0,7.0,8.0,3.0,48,0.0
2024,NBA,Darius Bazley,bazleda01,23.0,PHI,PF,3,0.0,10.0,0,1,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0,0,,0.0,1.0,1.0,2,0.0,0.0,1.0,0.0,0,0.0
2024,NBA,Darius Bazley,bazleda01,23.0,UTA,PF,6,0.0,142.0,18,29,0.621,2.0,8.0,0.25,16.0,21.0,0.762,0.655,10,12,0.833,8.0,19.0,27.0,5,6.0,7.0,7.0,3.0,48,0.0
2024,NBA,Bradley Beal,bealbr01,30.0,PHO,SG,53,53.0,1767.0,377,735,0.513,101.0,235.0,0.43,276.0,500.0,0.552,0.582,109,134,0.813,54.0,178.0,232.0,265,52.0,27.0,131.0,127.0,964,0.0
2024,NBA,Malik Beasley,beaslma01,27.0,MIL,SG,79,77.0,2337.0,320,722,0.443,224.0,542.0,0.413,96.0,180.0,0.533,0.598,25,35,0.714,41.0,249.0,290.0,108,59.0,9.0,54.0,158.0,889,0.0
2024,NBA,MarJon Beauchamp,beaucma01,23.0,MIL,SF,48,1.0,608.0,81,166,0.488,30.0,75.0,0.4,51.0,91.0,0.56,0.578,19,28,0.679,22.0,77.0,99.0,31,13.0,7.0,27.0,54.0,211,0.0
2024,NBA,Jules Bernard,bernaju01,24.0,WAS,SG,19,0.0,149.0,29,64,0.453,11.0,29.0,0.379,18.0,35.0,0.514,0.539,5,9,0.556,10.0,16.0,26.0,16,3.0,1.0,8.0,14.0,74,0.0
2024,NBA,Dāvis Bertāns,bertada01,31.0,2TM,PF,43,1.0,674.0,92,234,0.393,76.0,200.0,0.38,16.0,34.0,0.471,0.556,30,33,0.909,9.0,52.0,61.0,35,26.0,12.0,18.0,56.0,290,0.0
2024,NBA,Dāvis Bertāns,bertada01,31.0,OKC,PF,15,0.0,91.0,10,26,0.385,10.0,24.0,0.417,0.0,2.0,0.0,0.577,14,15,0.933,2.0,8.0,10.0,9,3.0,3.0,1.0,10.0,44,0.0
2024,NBA,Dāvis Bertāns,bertada01,31.0,CHO,PF,28,1.0,583.0,82,208,0.394,66.0,176.0,0.375,16.0,32.0,0.5,0.553,16,18,0.889,7.0,44.0,51.0,26,23.0,9.0,17.0,46.0,246,0.0
2024,NBA,Patrick Beverley,beverpa01,35.0,2TM,PG,73,13.0,1462.0,158,379,0.417,61.0,181.0,0.337,97.0,198.0,0.49,0.497,74,90,0.822,49.0,190.0,239.0,212,43.0,31.0,65.0,128.0,451,0.0
2024,NBA,Patrick Beverley,beverpa01,35.0,PHI,PG,47,5.0,919.0,104,241,0.432,35.0,109.0,0.321,69.0,132.0,0.523,0.504,51,63,0.81,30.0,115.0,145.0,144,24.0,18.0,49.0,83.0,294,0.0
2024,NBA,Patrick Beverley,beverpa01,35.0,MIL,PG,26,8.0,543.0,54,138,0.391,26.0,72.0,0.361,28.0,66.0,0.424,0.486,23,27,0.852,19.0,75.0,94.0,68,19.0,13.0,16.0,45.0,157,0.0
2024,NBA,Saddiq Bey,beysa01,24.0,ATL,SF,63,51.0,2062.0,290,697,0.416,113.0,358.0,0.316,177.0,339.0,0.522,0.497,170,203,0.837,167.0,244.0,411.0,92,51.0,11.0,54.0,88.0,863,0.0
2024,NBA,Goga Bitadze,bitadgo01,24.0,ORL,C,62,33.0,957.0,126,209,0.603,2.0,14.0,0.143,124.0,195.0,0.636,0.608,57,87,0.655,109.0,177.0,286.0,79,32.0,72.0,44.0,107.0,311,0.0
2024,NBA,Onuralp Bitim,bitimon01,24.0,CHI,SG,23,1.0,268.0,32,84,0.381,12.0,44.0,0.273,20.0,40.0,0.5,0.452,4,5,0.8,6.0,26.0,32.0,13,3.0,2.0,10.0,24.0,80,0.0
2024,NBA,Bismack Biyombo,biyombi01,31.0,2TM,C,40,27.0,791.0,74,131,0.565,0.0,0.0,,74.0,131.0,0.565,0.565,26,54,0.481,62.0,147.0,209.0,53,11.0,37.0,42.0,89.0,174,0.0
2024,NBA,Bismack Biyombo,biyombi01,31.0,MEM,C,30,27.0,718.0,67,119,0.563,0.0,0.0,,67.0,119.0,0.563,0.563,22,46,0.478,57.0,134.0,191.0,51,10.0,34.0,38.0,82.0,156,0.0
2024,NBA,Bismack Biyombo,biyombi01,31.0,OKC,C,10,0.0,73.0,7,12,0.583,0.0,0.0,,7.0,12.0,0.583,0.583,4,8,0.5,5.0,13.0,18.0,2,1.0,3.0,4.0,7.0,18,0.0
2024,NBA,Anthony Black,blackan01,20.0,ORL,PG,69,33.0,1164.0,115,247,0.466,37.0,94.0,0.394,78.0,153.0,0.51,0.54,49,80,0.613,33.0,106.0,139.0,91,35.0,21.0,56.0,110.0,316,0.0
2024,NBA,Leaky Black,blackle01,24.0,CHO,SF,26,3.0,284.0,25,52,0.481,9.0,20.0,0.45,16.0,32.0,0.5,0.567,10,15,0.667,9.0,39.0,48.0,24,8.0,11.0,6.0,19.0,69,0.0
2024,NBA,Buddy Boeheim,boehebu01,24.0,DET,SF,10,0.0,84.0,9,29,0.31,8.0,25.0,0.32,1.0,4.0,0.25,0.448,8,10,0.8,3.0,7.0,10.0,3,0.0,1.0,0.0,5.0,34,0.0
2024,NBA,Bogdan Bogdanović,bogdabo01,31.0,ATL,SG,79,33.0,2401.0,471,1100,0.428,240.0,641.0,0.374,231.0,459.0,0.503,0.537,151,164,0.921,53.0,219.0,272.0,247,96.0,26.0,112.0,179.0,1333,0.0
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,2TM,PF,57,27.0,1478.0,309,681,0.454,133.0,334.0,0.398,176.0,347.0,0.507,0.551,117,149,0.785,22.0,130.0,152.0,97,30.0,5.0,101.0,95.0,868,0.0
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,DET,PF,28,27.0,921.0,199,425,0.468,86.0,207.0,0.415,113.0,218.0,0.518,0.569,81,104,0.779,13.0,81.0,94.0,71,23.0,4.0,63.0,57.0,565,0.0
2024,NBA,Bojan Bogdanović,bogdabo02,34.0,NYK,SF,29,0.0,557.0,110,256,0.43,47.0,127.0,0.37,63.0,129.0,0.488,0.521,36,45,0.8,9.0,49.0,58.0,26,7.0,1.0,38.0,38.0,303,0.0
2024,NBA,Bol Bol,bolbo01,24.0,PHO,PF,43,0.0,469.0,93,151,0.616,22.0,52.0,0.423,71.0,99.0,0.717,0.689,15,19,0.789,32.0,105.0,137.0,17,10.0,25.0,19.0,42.0,223,0.0
2024,NBA,Marques Bolden,boldema01,25.0,2TM,C,11,2.0,121.0,17,25,0.68,0.0,1.0,0.0,17.0,24.0,0.708,0.68,3,4,0.75,10.0,24.0,34.0,4,3.0,7.0,3.0,10.0,37,0.0
2024,NBA,Marques Bolden,boldema01,25.0,MIL,C,2,0.0,3.0,0,0,,0.0,0.0,,0.0,0.0,,,0,0,,0.0,2.0,2.0,0,0.0,0.0,0.0,1.0,0,0.0
2024,NBA,Marques Bolden,boldema01,25.0,CHO,C,9,2.0,118.0,17,25,0.68,0.0,1.0,0.0,17.0,24.0,0.708,0.68,3,4,0.75,10.0,22.0,32.0,4,3.0,7.0,3.0,9.0,37,0.0
2024,NBA,Devin Booker,bookede01,27.0,PHO,PG,68,68.0,2447.0,642,1305,0.492,152.0,418.0,0.364,490.0,887.0,0.552,0.55,405,457,0.886,56.0,252.0,308.0,472,61.0,28.0,178.0,206.0,1841,0.0
2024,NBA,Brandon Boston Jr.,bostobr01,22.0,LAC,SF,32,0.0,345.0,65,161,0.404,14.0,52.0,0.269,51.0,109.0,0.468,0.447,23,33,0.697,19.0,33.0,52.0,13,11.0,8.0,24.0,40.0,167,0.0
2024,NBA,Chris Boucher,bouchch01,31.0,TOR,PF,50,0.0,705.0,110,217,0.507,31.0,94.0,0.33,79.0,123.0,0.642,0.578,71,92,0.772,62.0,145.0,207.0,23,14.0,24.0,28.0,68.0,322,0.0
2024,NBA,James Bouknight,bouknja01,23.0,CHO,SG,14,0.0,81.0,18,41,0.439,13.0,30.0,0.433,5.0,11.0,0.455,0.598,1,2,0.5,1.0,8.0,9.0,6,1.0,1.0,2.0,3.0,50,0.0
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,2TM,PG,9,0.0,95.0,10,28,0.357,1.0,9.0,0.111,9.0,19.0,0.474,0.375,0,0,,3.0,16.0,19.0,11,1.0,0.0,9.0,10.0,21,0.0
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,POR,PG,6,0.0,57.0,5,21,0.238,0.0,8.0,0.0,5.0,13.0,0.385,0.238,0,0,,2.0,8.0,10.0,8,0.0,0.0,8.0,3.0,10,0.0
2024,NBA,Jamaree Bouyea,bouyeja01,24.0,SAS,PG,3,0.0,38.0,5,7,0.714,1.0,1.0,1.0,4.0,6.0,0.667,0.786,0,0,,1.0,8.0,9.0,3,1.0,0.0,1.0,7.0,11,0.0
2024,NBA,Malaki Branham,branhma01,20.0,SAS,PG,75,29.0,1594.0,271,628,0.432,93.0,268.0,0.347,178.0,360.0,0.494,0.506,55,63,0.873,28.0,120.0,148.0,156,27.0,8.0,91.0,94.0,690,0.0
2024,NBA,Christian Braun,braunch01,22.0,DEN,SG,82,4.0,1655.0,222,483,0.46,63.0,164.0,0.384,159.0,319.0,0.498,0.525,93,134,0.694,79.0,227.0,306.0,132,42.0,35.0,55.0,137.0,600,0.0
2024,NBA,Mikal Bridges,bridgmi01,27.0,BRK,SF,82,82.0,2854.0,564,1294,0.436,220.0,592.0,0.372,344.0,702.0,0.49,0.521,258,317,0.814,68.0,304.0,372.0,299,81.0,30.0,164.0,116.0,1606,0.0
2024,NBA,Miles Bridges,bridgmi02,25.0,CHO,SF,69,67.0,2581.0,559,1210,0.462,157.0,450.0,0.349,402.0,760.0,0.529,0.527,174,211,0.825,71.0,434.0,505.0,231,65.0,33.0,138.0,118.0,1449,0.0
2024,NBA,Oshae Brissett,brissos01,25.0,BOS,SF,55,1.0,630.0,68,153,0.444,15.0,55.0,0.273,53.0,98.0,0.541,0.493,50,83,0.602,61.0,99.0,160.0,44,19.0,8.0,20.0,54.0,201,0.0
2024,NBA,Izaiah Brockington,brockiz01,24.0,NOP,PG,1,0.0,3.0,2,5,0.4,0.0,1.0,0.0,2.0,4.0,0.5,0.4,0,0,,1.0,1.0,2.0,0,0.0,0.0,0.0,0.0,4,0.0
2024,NBA,Malcolm Brogdon,brogdma01,31.0,POR,PG,39,25.0,1121.0,218,496,0.44,82.0,199.0,0.412,136.0,297.0,0.458,0.522,95,116,0.819,28.0,120.0,148.0,214,27.0,8.0,60.0,58.0,613,0.0
2024,NBA,Armoni Brooks,brookar01,25.0,BRK,PG,10,0.0,104.0,15,46,0.326,11.0,32.0,0.344,4.0,14.0,0.286,0.446,1,2,0.5,7.0,11.0,18.0,5,1.0,1.0,3.0,3.0,42,0.0
2024,NBA,Dillon Brooks,brookdi01,28.0,HOU,SF,72,72.0,2227.0,329,768,0.428,133.0,370.0,0.359,196.0,398.0,0.492,0.515,124,147,0.844,53.0,193.0,246.0,119,64.0,10.0,88.0,241.0,915,0.0
2024,NBA,Bruce Brown,brownbr01,27.0,2TM,SG,67,44.0,1866.0,278,582,0.478,53.0,164.0,0.323,225.0,418.0,0.538,0.523,117,142,0.824,53.0,231.0,284.0,192,59.0,17.0,86.0,148.0,726,0.0
2024,NBA,Bruce Brown,brownbr01,27.0,IND,SG,33,33.0,981.0,149,314,0.475,33.0,101.0,0.327,116.0,213.0,0.545,0.527,67,82,0.817,25.0,129.0,154.0,100,35.0,8.0,41.0,81.0,398,0.0
2024,NBA,Bruce Brown,brownbr01,27.0,TOR,PG,34,11.0,885.0,129,268,0.481,20.0,63.0,0.317,109.0,205.0,0.532,0.519,50,60,0.833,28.0,102.0,130.0,92,24.0,9.0,45.0,67.0,328,0.0
2024,NBA,Charlie Brown Jr.,brownch02,26.0,NYK,SG,8,0.0,37.0,2,10,0.2,2.0,7.0,0.286,0.0,3.0,0.0,0.3,0,0,,1.0,1.0,2.0,0,0.0,2.0,2.0,5.0,6,0.0
2024,NBA,Greg Brown III,browngr01,22.0,DAL,PF,6,0.0,40.0,5,11,0.455,1.0,3.0,0.333,4.0,8.0,0.5,0.5,4,9,0.444,3.0,6.0,9.0,4,0.0,4.0,4.0,5.0,15,0.0
2024,NBA,Jaylen Brown,brownja02,27.0,BOS,SF,70,70.0,2343.0,627,1256,0.499,145.0,410.0,0.354,482.0,846.0,0.57,0.557,211,300,0.703,84.0,303.0,387.0,249,83.0,37.0,166.0,185.0,1610,1.0
2024,NBA,Kendall Brown,brownke03,20.0,IND,SG,15,0.0,63.0,8,15,0.533,0.0,2.0,0.0,8.0,13.0,0.615,0.533,5,8,0.625,3.0,2.0,5.0,5,0.0,0.0,2.0,9.0,21,0.0
2024,NBA,Kobe Brown,brownko01,24.0,LAC,PF,44,0.0,394.0,37,90,0.411,14.0,48.0,0.292,23.0,42.0,0.548,0.489,1,2,0.5,20.0,42.0,62.0,25,12.0,6.0,9.0,49.0,89,0.0
2024,NBA,Moses Brown,brownmo01,24.0,POR,C,22,5.0,200.0,33,65,0.508,0.0,0.0,,33.0,65.0,0.508,0.508,9,31,0.29,37.0,49.0,86.0,7,5.0,7.0,11.0,27.0,75,0.0
2024,NBA,Troy Brown Jr.,browntr01,24.0,2TM,SF,59,15.0,827.0,84,226,0.372,47.0,141.0,0.333,37.0,85.0,0.435,0.476,32,37,0.865,25.0,119.0,144.0,60,24.0,3.0,30.0,42.0,247,0.0
2024,NBA,Troy Brown Jr.,browntr01,24.0,MIN,SF,37,3.0,410.0,52,118,0.441,31.0,84.0,0.369,21.0,34.0,0.618,0.572,19,22,0.864,14.0,58.0,72.0,35,8.0,2.0,18.0,26.0,154,0.0
2024,NBA,Troy Brown Jr.,browntr01,24.0,DET,SF,22,12.0,417.0,32,108,0.296,16.0,57.0,0.281,16.0,51.0,0.314,0.37,13,15,0.867,11.0,61.0,72.0,25,16.0,1.0,12.0,16.0,93,0.0
2024,NBA,Jalen Brunson,brunsja01,27.0,NYK,PG,77,77.0,2726.0,790,1648,0.479,211.0,526.0,0.401,579.0,1122.0,0.516,0.543,421,497,0.847,43.0,235.0,278.0,519,70.0,13.0,186.0,144.0,2212,0.0
2024,NBA,Thomas Bryant,bryanth01,26.0,MIA,C,38,4.0,441.0,86,149,0.577,4.0,22.0,0.182,82.0,127.0,0.646,0.591,41,47,0.872,40.0,101.0,141.0,23,10.0,16.0,21.0,46.0,217,0.0
