season,lg,player,player_id,age,team,pos,g,gs,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
2024,NBA,Jarrett Allen,allenja01,25,CLE,C,77,77,2442,0.634,4.2,0.993,0.554,0.338,0.081,0.02,0.007,0.638,0.738,0.531,0.5,0.25,0.0,0.823,,0.243,170,0.333,0.0,0,0
2024,NBA,Timmy Allen,allenti01,24,MEM,SF,5,0,125,0.261,14.6,0.696,0.13,0.174,0.261,0.13,0.304,0.375,0.333,0.5,0.333,0.333,0.0,0.333,,0.0,0,0.714,0.0,0,0
2024,NBA,Jose Alvarado,alvarjo01,25,NOP,PG,56,0,1028,0.412,17.7,0.4,0.136,0.188,0.067,0.009,0.6,0.464,0.617,0.415,0.304,0.333,0.377,0.578,0.885,0.0,0,0.28,0.483,1,0
2024,NBA,Kyle Anderson,anderky01,30,MIN,PF,79,10,1782,0.46,9.0,0.889,0.192,0.48,0.189,0.028,0.111,0.488,0.627,0.438,0.476,0.5,0.229,0.511,1.0,0.025,10,0.688,0.303,1,0
2024,NBA,Giannis Antetokounmpo,antetgi01,29,MIL,PF,73,73,2567,0.611,6.7,0.909,0.519,0.251,0.068,0.072,0.091,0.645,0.818,0.452,0.323,0.374,0.274,0.509,0.5,0.193,251,0.024,0.0,1,0
2024,NBA,Thanasis Antetokounmpo,antetth01,31,MIL,PF,34,0,155,0.533,3.7,0.967,0.767,0.167,0.0,0.033,0.033,0.552,0.609,0.4,,0.0,0.0,0.75,,0.333,7,1.0,0.0,0,0
2024,NBA,Cole Anthony,anthoco01,23,ORL,PG,81,0,1817,0.435,14.9,0.64,0.152,0.244,0.169,0.075,0.36,0.49,0.647,0.484,0.434,0.316,0.338,0.28,0.892,0.014,9,0.204,0.321,3,0
2024,NBA,OG Anunoby,anunoog01,26,2TM,SF,50,50,1702,0.489,13.9,0.537,0.31,0.121,0.066,0.04,0.463,0.581,0.721,0.357,0.368,0.522,0.382,0.689,0.961,0.144,75,0.476,0.457,0,0
2024,NBA,OG Anunoby,anunoog01,26,TOR,SF,27,27,900,0.489,15.2,0.492,0.265,0.131,0.056,0.04,0.508,0.608,0.753,0.405,0.389,0.615,0.374,0.729,0.951,0.128,36,0.405,0.439,0,0
2024,NBA,OG Anunoby,anunoog01,26,NYK,SF,23,23,802,0.488,12.6,0.594,0.367,0.109,0.078,0.039,0.406,0.553,0.691,0.286,0.35,0.4,0.394,0.643,0.976,0.164,39,0.587,0.475,0,0
2024,NBA,Ryan Arcidiacono,arcidry01,29,NYK,PG,20,0,45,0.0,26.3,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0,0.0,,0,0
2024,NBA,Deni Avdija,avdijde01,23,WAS,SF,75,75,2257,0.506,10.9,0.707,0.336,0.298,0.044,0.03,0.293,0.56,0.737,0.427,0.171,0.458,0.374,0.569,0.852,0.057,42,0.272,0.484,3,0
2024,NBA,Deandre Ayton,aytonde01,25,POR,C,55,55,1784,0.57,8.9,0.987,0.255,0.308,0.268,0.155,0.013,0.576,0.764,0.541,0.453,0.552,0.1,0.749,1.0,0.117,80,0.4,0.25,1,0
2024,NBA,Udoka Azubuike,azubuud01,24,PHO,C,16,0,113,0.696,2.7,1.0,0.696,0.261,0.043,0.0,0.0,0.696,0.813,0.5,0.0,,,0.563,,0.522,10,,,0,0
2024,NBA,Ibou Badji,badjiib01,21,POR,C,22,1,226,0.636,4.2,1.0,0.591,0.227,0.136,0.045,0.0,0.636,0.769,0.2,0.667,1.0,,0.5,,0.409,7,,,0,0
2024,NBA,Marvin Bagley III,baglema01,24,2TM,C,50,25,1053,0.586,5.1,0.944,0.544,0.292,0.091,0.017,0.056,0.597,0.721,0.454,0.405,0.143,0.391,0.665,1.0,0.189,71,0.304,0.429,0,0
2024,NBA,Marvin Bagley III,baglema01,24,DET,C,26,10,478,0.591,4.9,0.967,0.552,0.276,0.105,0.033,0.033,0.606,0.71,0.54,0.421,0.0,0.167,0.66,1.0,0.204,34,0.167,0.0,0,0
2024,NBA,Marvin Bagley III,baglema01,24,WAS,C,24,15,575,0.581,5.2,0.925,0.537,0.304,0.079,0.004,0.075,0.59,0.73,0.391,0.389,1.0,0.471,0.669,1.0,0.176,37,0.353,0.5,0,0
2024,NBA,Amari Bailey,baileam01,19,CHO,PG,10,0,65,0.333,13.5,0.667,0.333,0.042,0.167,0.125,0.333,0.438,0.5,1.0,0.25,0.333,0.125,0.286,1.0,0.125,2,0.125,1.0,0,0
2024,NBA,Patrick Baldwin Jr.,baldwpa01,21,WAS,SF,38,7,493,0.381,18.0,0.374,0.219,0.097,0.026,0.032,0.626,0.483,0.676,0.267,0.25,0.0,0.32,0.714,1.0,0.058,9,0.165,0.375,0,0
2024,NBA,LaMelo Ball,ballla01,22,CHO,PG,22,22,711,0.433,15.4,0.534,0.191,0.265,0.054,0.024,0.466,0.5,0.654,0.455,0.348,0.1,0.355,0.159,0.586,0.002,0,0.157,0.484,0,0
2024,NBA,Mo Bamba,bambamo01,25,PHI,C,57,17,740,0.49,10.6,0.677,0.475,0.146,0.02,0.035,0.323,0.537,0.617,0.345,0.75,0.143,0.391,0.611,1.0,0.187,33,0.125,0.125,0,0
2024,NBA,Paolo Banchero,banchpa01,21,ORL,PF,80,80,2799,0.455,12.6,0.751,0.225,0.235,0.183,0.108,0.249,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80,0.068,0.25,2,0
2024,NBA,Desmond Bane,banede01,25,MEM,SG,42,42,1443,0.464,15.9,0.536,0.216,0.168,0.061,0.091,0.464,0.536,0.72,0.377,0.553,0.38,0.381,0.404,0.613,0.009,7,0.144,0.442,2,0
2024,NBA,Dalano Banton,bantoda01,24,2TM,PG,54,9,1047,0.404,12.6,0.602,0.232,0.268,0.068,0.034,0.398,0.475,0.655,0.396,0.294,0.235,0.296,0.336,0.847,0.034,17,0.146,0.345,0,0
2024,NBA,Dalano Banton,bantoda01,24,BOS,PG,24,1,171,0.373,11.3,0.686,0.275,0.353,0.02,0.039,0.314,0.486,0.643,0.444,0.0,0.0,0.125,0.412,1.0,0.078,4,0.313,0.2,0,0
2024,NBA,Dalano Banton,bantoda01,24,POR,PG,30,8,876,0.408,14.0,0.592,0.227,0.258,0.073,0.033,0.408,0.474,0.657,0.388,0.303,0.267,0.311,0.325,0.842,0.029,13,0.131,0.375,0,0
2024,NBA,Dominick Barlow,barlodo01,20,SAS,PF,33,1,420,0.496,7.4,0.92,0.398,0.257,0.221,0.044,0.08,0.51,0.578,0.483,0.48,0.2,0.333,0.698,1.0,0.088,9,0.889,0.375,0,0
2024,NBA,Harrison Barnes,barneha02,31,SAC,PF,82,82,2381,0.474,15.9,0.474,0.182,0.223,0.052,0.018,0.526,0.571,0.684,0.515,0.421,0.538,0.387,0.631,0.966,0.034,21,0.421,0.42,0,0
2024,NBA,Scottie Barnes,barnesc01,22,TOR,SG,60,60,2094,0.475,12.4,0.686,0.271,0.268,0.079,0.069,0.314,0.536,0.733,0.429,0.297,0.446,0.341,0.462,0.911,0.084,73,0.149,0.364,1,0
2024,NBA,RJ Barrett,barrerj01,23,2TM,SG,58,58,1838,0.495,10.4,0.716,0.364,0.276,0.057,0.019,0.284,0.549,0.694,0.42,0.3,0.412,0.36,0.592,0.989,0.05,39,0.352,0.409,0,0
2024,NBA,RJ Barrett,barrerj01,23,NYK,SG,26,26,766,0.423,12.2,0.665,0.278,0.255,0.093,0.039,0.335,0.469,0.62,0.374,0.306,0.4,0.331,0.537,1.0,0.034,10,0.377,0.388,0,0
2024,NBA,RJ Barrett,barrerj01,23,TOR,SG,32,32,1072,0.553,8.7,0.756,0.431,0.293,0.028,0.004,0.244,0.605,0.731,0.451,0.286,0.5,0.392,0.622,0.979,0.063,29,0.325,0.436,0,0
2024,NBA,Charles Bassey,bassech01,23,SAS,C,19,0,205,0.725,5.0,0.975,0.65,0.1,0.2,0.025,0.025,0.744,0.846,0.75,0.5,0.0,0.0,0.793,,0.25,10,0.0,,0,0
2024,NBA,Emoni Bates,batesem01,20,CLE,SF,15,0,133,0.306,20.5,0.327,0.143,0.041,0.041,0.102,0.673,0.313,0.286,0.0,0.5,0.4,0.303,0.2,1.0,0.02,0,0.182,0.5,0,0
2024,NBA,Keita Bates-Diop,bateske01,28,2TM,SF,53,8,665,0.434,11.7,0.584,0.343,0.181,0.06,0.0,0.416,0.526,0.632,0.333,0.5,,0.304,0.627,0.952,0.096,15,0.623,0.326,0,0
2024,NBA,Keita Bates-Diop,bateske01,28,PHO,SF,39,8,597,0.427,12.4,0.573,0.34,0.173,0.06,0.0,0.427,0.512,0.608,0.346,0.444,,0.313,0.614,0.95,0.1,14,0.656,0.333,0,0
2024,NBA,Keita Bates-Diop,bateske01,28,BRK,SF,14,0,68,0.5,11.0,0.688,0.375,0.25,0.063,0.0,0.313,0.636,0.833,0.25,1.0,,0.2,0.714,1.0,0.063,1,0.2,0.0,0,0
2024,NBA,Nicolas Batum,batumni01,35,2TM,PF,60,38,1529,0.453,20.5,0.277,0.191,0.043,0.027,0.016,0.723,0.606,0.653,0.636,0.429,0.25,0.395,0.628,1.0,0.035,9,0.535,0.434,1,0
2024,NBA,Nicolas Batum,batumni01,35,LAC,PF,3,0,54,0.375,22.0,0.125,0.0,0.125,0.0,0.0,0.875,1.0,,1.0,,,0.286,1.0,1.0,0.125,1,0.571,0.5,0,0
2024,NBA,Nicolas Batum,batumni01,35,PHI,PF,57,38,1475,0.456,18.9,0.282,0.198,0.04,0.028,0.016,0.718,0.6,0.653,0.6,0.429,0.25,0.399,0.619,1.0,0.032,8,0.534,0.432,1,0
2024,NBA,Darius Bazley,bazleda01,23,2TM,PF,9,0,152,0.6,5.5,0.733,0.333,0.333,0.067,0.0,0.267,0.727,0.9,0.6,0.5,,0.25,0.5,1.0,0.233,6,0.625,0.4,0,0
2024,NBA,Darius Bazley,bazleda01,23,PHI,PF,3,0,10,0.0,0.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0,,,0,0
2024,NBA,Darius Bazley,bazleda01,23,UTA,PF,6,0,142,0.621,10.2,0.724,0.31,0.345,0.069,0.0,0.276,0.762,1.0,0.6,0.5,,0.25,0.5,1.0,0.207,6,0.625,0.4,0,0
2024,NBA,Bradley Beal,bealbr01,30,PHO,SG,53,53,1767,0.513,13.5,0.68,0.233,0.193,0.132,0.122,0.32,0.552,0.725,0.472,0.474,0.433,0.43,0.442,0.861,0.034,22,0.311,0.438,0,0
2024,NBA,Malik Beasley,beaslma01,27,MIL,SG,79,77,2337,0.443,20.7,0.249,0.073,0.1,0.04,0.036,0.751,0.533,0.736,0.472,0.414,0.423,0.413,0.688,0.951,0.008,5,0.399,0.472,0,0
2024,NBA,MarJon Beauchamp,beaucma01,23,MIL,SF,48,1,608,0.488,14.8,0.548,0.277,0.127,0.054,0.09,0.452,0.56,0.63,0.476,0.556,0.467,0.4,0.588,0.967,0.096,12,0.387,0.448,0,0
2024,NBA,Jules Bernard,bernaju01,24,WAS,SG,19,0,149,0.453,14.0,0.547,0.328,0.172,0.031,0.016,0.453,0.514,0.571,0.455,0.5,0.0,0.379,0.278,0.909,0.016,1,0.172,0.6,0,0
2024,NBA,Dāvis Bertāns,bertada01,31,2TM,PF,43,1,674,0.393,23.8,0.145,0.064,0.038,0.004,0.038,0.855,0.471,0.6,0.444,0.0,0.333,0.38,0.938,0.961,0.017,3,0.225,0.333,1,0
2024,NBA,Dāvis Bertāns,bertada01,31,OKC,PF,15,0,91,0.385,23.8,0.077,0.038,0.0,0.038,0.0,0.923,0.0,0.0,,0.0,,0.417,,0.9,0.0,0,0.375,0.333,0,0
2024,NBA,Dāvis Bertāns,bertada01,31,CHO,PF,28,1,583,0.394,23.7,0.154,0.067,0.043,0.0,0.043,0.846,0.5,0.643,0.444,,0.333,0.375,0.938,0.97,0.019,3,0.205,0.333,1,0
2024,NBA,Patrick Beverley,beverpa01,35,2TM,PG,73,13,1462,0.417,15.4,0.522,0.153,0.293,0.066,0.011,0.478,0.49,0.672,0.441,0.32,0.25,0.337,0.361,0.852,0.003,1,0.309,0.464,0,0
2024,NBA,Patrick Beverley,beverpa01,35,PHI,PG,47,5,919,0.432,14.9,0.548,0.154,0.315,0.066,0.012,0.452,0.523,0.703,0.474,0.375,0.333,0.321,0.348,0.771,0.004,1,0.22,0.583,0,0
2024,NBA,Patrick Beverley,beverpa01,35,MIL,PG,26,8,543,0.391,15.9,0.478,0.152,0.254,0.065,0.007,0.522,0.424,0.619,0.371,0.222,0.0,0.361,0.393,0.962,0.0,0,0.444,0.375,0,0
2024,NBA,Saddiq Bey,beysa01,24,ATL,SF,63,51,2062,0.416,14.5,0.486,0.287,0.155,0.033,0.011,0.514,0.522,0.645,0.361,0.261,0.375,0.316,0.492,0.982,0.066,44,0.453,0.29,1,0
2024,NBA,Goga Bitadze,bitadgo01,24,ORL,C,62,33,957,0.603,3.8,0.933,0.689,0.23,0.005,0.01,0.067,0.636,0.715,0.438,0.0,0.0,0.143,0.637,1.0,0.273,51,0.286,0.0,0,0
2024,NBA,Onuralp Bitim,bitimon01,24,CHI,SG,23,1,268,0.381,16.2,0.476,0.202,0.143,0.083,0.048,0.524,0.5,0.706,0.25,0.571,0.25,0.273,0.75,1.0,0.06,3,0.341,0.267,0,0
2024,NBA,Bismack Biyombo,biyombi01,31,2TM,C,40,27,791,0.565,3.5,1.0,0.489,0.504,0.008,0.0,0.0,0.565,0.719,0.424,0.0,,,0.757,,0.198,24,,,0,0
2024,NBA,Bismack Biyombo,biyombi01,31,MEM,C,30,27,718,0.563,3.7,1.0,0.487,0.504,0.008,0.0,0.0,0.563,0.724,0.417,0.0,,,0.776,,0.21,24,,,0,0
2024,NBA,Bismack Biyombo,biyombi01,31,OKC,C,10,0,73,0.583,3.3,1.0,0.5,0.5,0.0,0.0,0.0,0.583,0.667,0.5,,,,0.571,,0.083,0,,,0,0
2024,NBA,Anthony Black,blackan01,20,ORL,PG,69,33,1164,0.466,13.0,0.619,0.308,0.162,0.085,0.065,0.381,0.51,0.684,0.4,0.286,0.25,0.394,0.731,0.919,0.109,25,0.5,0.404,0,0
2024,NBA,Leaky Black,blackle01,24,CHO,SF,26,3,284,0.481,12.4,0.615,0.308,0.212,0.038,0.058,0.385,0.5,0.75,0.182,0.5,0.333,0.45,0.688,1.0,0.077,4,0.45,0.556,0,0
2024,NBA,Buddy Boeheim,boehebu01,24,DET,SF,10,0,84,0.31,23.9,0.138,0.034,0.034,0.034,0.034,0.862,0.25,0.0,0.0,1.0,0.0,0.32,1.0,1.0,0.0,0,0.2,0.2,0,0
2024,NBA,Bogdan Bogdanović,bogdabo01,31,ATL,SG,79,33,2401,0.428,18.4,0.417,0.123,0.148,0.095,0.051,0.583,0.503,0.563,0.46,0.514,0.464,0.374,0.558,0.863,0.008,7,0.204,0.42,5,0
2024,NBA,Bojan Bogdanović,bogdabo02,34,2TM,PF,57,27,1478,0.454,16.7,0.51,0.117,0.181,0.14,0.072,0.49,0.507,0.625,0.48,0.484,0.429,0.398,0.648,0.872,0.006,4,0.275,0.435,0,0
2024,NBA,Bojan Bogdanović,bogdabo02,34,DET,PF,28,27,921,0.468,16.6,0.513,0.111,0.2,0.141,0.061,0.487,0.518,0.723,0.447,0.5,0.423,0.415,0.584,0.86,0.002,1,0.232,0.438,0,0
2024,NBA,Bojan Bogdanović,bogdabo02,34,NYK,SF,29,0,557,0.43,16.8,0.504,0.129,0.148,0.137,0.09,0.496,0.488,0.485,0.553,0.457,0.435,0.37,0.762,0.894,0.012,3,0.346,0.432,0,0
2024,NBA,Bol Bol,bolbo01,24,PHO,PF,43,0,469,0.616,13.4,0.656,0.185,0.272,0.146,0.053,0.344,0.717,0.929,0.683,0.591,0.5,0.423,0.789,1.0,0.106,15,0.596,0.419,0,0
2024,NBA,Marques Bolden,boldema01,25,2TM,C,11,2,121,0.68,5.4,0.96,0.44,0.32,0.2,0.0,0.04,0.708,0.818,0.875,0.2,,0.0,0.824,,0.2,5,0.0,,0,0
2024,NBA,Marques Bolden,boldema01,25,MIL,C,2,0,3,,,,,,,,,,,,,,,,,,0,,,0,0
2024,NBA,Marques Bolden,boldema01,25,CHO,C,9,2,118,0.68,5.4,0.96,0.44,0.32,0.2,0.0,0.04,0.708,0.818,0.875,0.2,,0.0,0.824,,0.2,5,0.0,,0,0
2024,NBA,Devin Booker,bookede01,27,PHO,PG,68,68,2447,0.492,15.4,0.68,0.14,0.158,0.231,0.151,0.32,0.552,0.76,0.447,0.551,0.472,0.364,0.373,0.612,0.013,14,0.074,0.452,0,0
2024,NBA,Brandon Boston Jr.,bostobr01,22,LAC,SF,32,0,345,0.404,13.9,0.677,0.205,0.168,0.211,0.093,0.323,0.468,0.636,0.296,0.5,0.333,0.269,0.588,0.786,0.068,11,0.25,0.385,0,0
2024,NBA,Chris Boucher,bouchch01,31,TOR,PF,50,0,705,0.507,12.4,0.567,0.373,0.166,0.009,0.018,0.433,0.642,0.765,0.417,0.5,0.25,0.33,0.595,1.0,0.092,18,0.415,0.256,0,0
2024,NBA,James Bouknight,bouknja01,23,CHO,SG,14,0,81,0.439,20.2,0.268,0.171,0.049,0.024,0.024,0.732,0.455,0.714,0.0,0.0,0.0,0.433,0.4,0.538,0.024,1,0.233,0.286,0,0
2024,NBA,Jamaree Bouyea,bouyeja01,24,2TM,PG,9,0,95,0.357,11.7,0.679,0.286,0.321,0.036,0.036,0.321,0.474,0.625,0.222,1.0,1.0,0.111,0.444,1.0,0.0,0,0.0,,1,0
2024,NBA,Jamaree Bouyea,bouyeja01,24,POR,PG,6,0,57,0.238,15.6,0.619,0.238,0.333,0.0,0.048,0.381,0.385,0.6,0.143,,1.0,0.0,0.4,,0.0,0,0.0,,1,0
2024,NBA,Jamaree Bouyea,bouyeja01,24,SAS,PG,3,0,38,0.714,7.8,0.857,0.429,0.286,0.143,0.0,0.143,0.667,0.667,0.5,1.0,,1.0,0.5,1.0,0.0,0,0.0,,0,0
2024,NBA,Malaki Branham,branhma01,20,SAS,PG,75,29,1594,0.432,15.1,0.573,0.186,0.189,0.134,0.064,0.427,0.494,0.744,0.328,0.5,0.25,0.347,0.657,0.968,0.019,12,0.272,0.384,0,0
2024,NBA,Christian Braun,braunch01,22,DEN,SG,82,4,1655,0.46,11.4,0.66,0.342,0.263,0.025,0.031,0.34,0.498,0.667,0.339,0.083,0.333,0.384,0.692,0.937,0.068,30,0.341,0.304,1,0
2024,NBA,Mikal Bridges,bridgmi01,27,BRK,SF,82,82,2854,0.436,15.9,0.543,0.165,0.163,0.158,0.056,0.457,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20,0.338,0.405,5,1
2024,NBA,Miles Bridges,bridgmi02,25,CHO,SF,69,67,2581,0.462,13.6,0.628,0.283,0.207,0.058,0.081,0.372,0.529,0.696,0.424,0.343,0.347,0.349,0.555,0.879,0.058,66,0.196,0.341,7,0
2024,NBA,Oshae Brissett,brissos01,25,BOS,SF,55,1,630,0.444,11.4,0.641,0.34,0.261,0.013,0.026,0.359,0.541,0.673,0.4,0.5,0.25,0.273,0.66,1.0,0.144,20,0.436,0.333,0,0
2024,NBA,Izaiah Brockington,brockiz01,24,NOP,PG,1,0,3,0.4,10.5,0.8,0.4,0.2,0.0,0.2,0.2,0.5,1.0,0.0,,0.0,0.0,0.5,,0.2,1,0.0,,0,0
2024,NBA,Malcolm Brogdon,brogdma01,31,POR,PG,39,25,1121,0.44,15.4,0.599,0.206,0.157,0.117,0.119,0.401,0.458,0.608,0.385,0.431,0.322,0.412,0.257,0.756,0.002,0,0.121,0.5,0,0
2024,NBA,Armoni Brooks,brookar01,25,BRK,PG,10,0,104,0.326,20.0,0.304,0.109,0.152,0.022,0.022,0.696,0.286,0.0,0.571,0.0,0.0,0.344,0.75,0.909,0.0,0,0.063,0.0,0,0
2024,NBA,Dillon Brooks,brookdi01,28,HOU,SF,72,72,2227,0.428,15.7,0.518,0.173,0.228,0.083,0.034,0.482,0.492,0.707,0.36,0.422,0.462,0.359,0.587,0.962,0.021,14,0.154,0.421,2,0
2024,NBA,Bruce Brown,brownbr01,27,2TM,SG,67,44,1866,0.478,11.6,0.718,0.244,0.285,0.148,0.041,0.282,0.538,0.718,0.44,0.477,0.375,0.323,0.618,0.925,0.021,12,0.39,0.344,1,0
2024,NBA,Bruce Brown,brownbr01,27,IND,SG,33,33,981,0.475,12.9,0.678,0.207,0.264,0.162,0.045,0.322,0.545,0.692,0.458,0.529,0.429,0.327,0.552,0.909,0.019,6,0.436,0.386,1,0
2024,NBA,Bruce Brown,brownbr01,27,TOR,PG,34,11,885,0.481,10.3,0.765,0.287,0.31,0.131,0.037,0.235,0.532,0.74,0.422,0.4,0.3,0.317,0.688,0.95,0.022,6,0.317,0.25,0,0
2024,NBA,Charlie Brown Jr.,brownch02,26,NYK,SG,8,0,37,0.2,19.0,0.3,0.1,0.2,0.0,0.0,0.7,0.0,0.0,0.0,,,0.286,,1.0,0.0,0,0.286,0.5,0,0
2024,NBA,Greg Brown III,browngr01,22,DAL,PF,6,0,40,0.455,8.5,0.727,0.636,0.091,0.0,0.0,0.273,0.5,0.571,0.0,,,0.333,0.75,1.0,0.273,2,0.0,,0,0
2024,NBA,Jaylen Brown,brownja02,27,BOS,SF,70,70,2343,0.499,13.0,0.674,0.247,0.237,0.119,0.07,0.326,0.57,0.723,0.487,0.52,0.398,0.354,0.429,0.634,0.075,76,0.205,0.381,0,0
2024,NBA,Kendall Brown,brownke03,20,IND,SG,15,0,63,0.533,7.0,0.867,0.4,0.333,0.133,0.0,0.133,0.615,0.667,0.8,0.0,,0.0,0.75,,0.2,3,0.5,0.0,0,0
2024,NBA,Kobe Brown,brownko01,24,LAC,PF,44,0,394,0.411,15.5,0.467,0.289,0.111,0.056,0.011,0.533,0.548,0.654,0.4,0.2,1.0,0.292,0.652,1.0,0.078,7,0.292,0.214,0,0
2024,NBA,Moses Brown,brownmo01,24,POR,C,22,5,200,0.508,3.3,1.0,0.492,0.462,0.031,0.015,0.0,0.508,0.656,0.4,0.0,0.0,,0.697,,0.262,15,,,0,0
2024,NBA,Troy Brown Jr.,browntr01,24,2TM,SF,59,15,827,0.372,18.8,0.376,0.128,0.142,0.031,0.075,0.624,0.435,0.586,0.25,0.429,0.529,0.333,0.459,0.915,0.018,3,0.312,0.295,2,0
2024,NBA,Troy Brown Jr.,browntr01,24,MIN,SF,37,3,410,0.441,19.9,0.288,0.136,0.076,0.042,0.034,0.712,0.618,0.75,0.333,0.6,0.75,0.369,0.476,0.871,0.0,0,0.321,0.37,1,0
2024,NBA,Troy Brown Jr.,browntr01,24,DET,SF,22,12,417,0.296,17.6,0.472,0.12,0.213,0.019,0.12,0.528,0.314,0.385,0.217,0.0,0.462,0.281,0.438,1.0,0.037,3,0.298,0.176,1,0
2024,NBA,Jalen Brunson,brunsja01,27,NYK,PG,77,77,2726,0.479,14.3,0.681,0.127,0.275,0.189,0.09,0.319,0.516,0.636,0.519,0.474,0.426,0.401,0.23,0.583,0.002,3,0.131,0.464,1,0
2024,NBA,Thomas Bryant,bryanth01,26,MIA,C,38,4,441,0.577,7.5,0.852,0.43,0.315,0.06,0.047,0.148,0.646,0.766,0.596,0.444,0.143,0.182,0.695,1.0,0.248,34,0.273,0.333,0,0
2024,NBA,Kobe Bufkin,bufkiko01,20,ATL,SG,17,0,196,0.37,17.5,0.565,0.098,0.141,0.163,0.163,0.435,0.481,0.556,0.462,0.467,0.467,0.225,0.32,0.667,0.0,0,0.25,0.1,0,0
2024,NBA,Reggie Bullock,bullore01,32,HOU,SF,44,0,417,0.415,22.1,0.183,0.049,0.037,0.049,0.049,0.817,0.467,1.0,0.333,0.25,0.25,0.403,1.0,0.963,0.0,0,0.433,0.552,0,0
2024,NBA,Alec Burks,burksal01,32,2TM,SG,66,1,1212,0.369,18.2,0.42,0.086,0.132,0.125,0.077,0.58,0.36,0.469,0.307,0.38,0.295,0.376,0.5,0.782,0.0,0,0.282,0.366,0,0
2024,NBA,Alec Burks,burksal01,32,DET,SG,43,0,901,0.394,19.2,0.392,0.069,0.135,0.101,0.086,0.608,0.384,0.536,0.273,0.463,0.343,0.401,0.541,0.788,0.0,0,0.279,0.391,0,0
