season,lg,player,player_id,age,team,pos,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,e_fg_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
2024,NBA,Jimmy Butler,butleji01,34.0,MIA,PF,60,60.0,2042,7.0,14.0,0.499,1.1,2.6,0.414,5.9,11.4,0.519,0.537,6.9,8.1,0.858,1.9,3.8,5.6,5.3,1.4,0.3,1.8,1.2,22.0
2024,NBA,Jamal Cain,cainja01,24.0,MIA,PF,26,1.0,259,4.7,11.0,0.43,1.5,4.3,0.355,3.2,6.7,0.479,0.5,2.5,3.2,0.783,2.1,3.1,5.1,1.4,1.4,0.7,1.1,3.1,13.5
2024,NBA,Kentavious Caldwell-Pope,caldwke01,30.0,DEN,SG,76,76.0,2402,4.0,8.8,0.46,1.9,4.6,0.406,2.2,4.2,0.52,0.566,1.5,1.7,0.894,0.5,2.3,2.7,2.7,1.5,0.6,1.1,2.3,11.5
2024,NBA,Toumani Camara,camarto01,23.0,POR,PF,70,49.0,1739,4.1,9.1,0.45,1.2,3.6,0.337,2.9,5.5,0.523,0.516,1.6,2.0,0.758,2.9,4.2,7.1,1.8,1.4,0.7,1.7,3.6,10.9
2024,NBA,Clint Capela,capelca01,29.0,ATL,C,73,73.0,1883,6.7,11.8,0.571,0.0,0.0,0.0,6.7,11.8,0.572,0.571,2.5,3.9,0.631,6.4,8.4,14.8,1.7,0.8,2.0,1.4,3.1,16.0
2024,NBA,Jevon Carter,carteje01,28.0,CHI,PG,72,0.0,1004,4.9,13.1,0.378,2.8,8.4,0.329,2.2,4.7,0.466,0.484,0.1,0.3,0.571,0.4,1.8,2.2,3.4,1.3,0.6,1.3,2.5,12.8
2024,NBA,Wendell Carter Jr.,cartewe01,24.0,ORL,C,55,48.0,1406,5.7,10.9,0.525,1.6,4.4,0.374,4.1,6.5,0.626,0.6,2.4,3.4,0.694,2.9,6.9,9.8,2.4,0.9,0.7,1.7,3.1,15.4
2024,NBA,D.J. Carton,cartodj01,23.0,TOR,SG,4,0.0,36,3.0,8.0,0.375,1.0,4.0,0.25,2.0,4.0,0.5,0.438,4.0,5.0,0.8,2.0,2.0,4.0,3.0,1.0,0.0,1.0,3.0,11.0
2024,NBA,Alex Caruso,carusal01,29.0,CHI,SG,71,57.0,2040,4.5,9.5,0.468,2.4,5.9,0.408,2.1,3.7,0.563,0.593,1.3,1.7,0.76,1.1,3.7,4.8,4.4,2.1,1.2,1.8,3.2,12.6
2024,NBA,Colin Castleton,castlco01,23.0,LAL,C,16,0.0,59,5.5,9.8,0.563,0.0,0.0,,5.5,9.8,0.563,0.563,3.7,3.7,1.0,3.7,3.7,7.3,1.8,1.2,0.0,1.8,6.7,14.6
2024,NBA,Malcolm Cazalon,cazalma01,22.0,DET,SG,1,0.0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,NBA,Justin Champagnie,champju01,22.0,WAS,SF,15,1.0,235,4.9,11.9,0.41,2.0,6.9,0.289,2.9,5.1,0.576,0.494,1.8,2.3,0.8,2.9,5.2,8.1,2.9,1.5,1.4,1.5,2.1,13.6
2024,NBA,Julian Champagnie,champju02,22.0,SAS,SF,74,59.0,1468,4.0,9.9,0.408,2.5,6.8,0.365,1.5,3.1,0.504,0.534,1.8,2.3,0.815,1.0,4.0,5.1,2.5,1.2,1.0,1.4,1.9,12.4
2024,NBA,Max Christie,chrisma02,20.0,LAL,SG,67,7.0,944,3.9,9.2,0.427,1.6,4.5,0.356,2.3,4.7,0.496,0.515,1.4,1.8,0.783,0.6,4.8,5.4,2.3,0.8,0.6,1.3,2.2,10.8
2024,NBA,Sidy Cissoko,cissosi01,19.0,SAS,SF,12,0.0,141,4.1,8.4,0.485,0.3,3.1,0.083,3.8,5.4,0.714,0.5,3.1,3.8,0.8,2.0,3.6,5.6,2.6,1.8,0.8,0.8,4.6,11.5
2024,NBA,Brandon Clarke,clarkbr01,27.0,MEM,PF,6,1.0,134,8.9,15.9,0.559,0.3,1.6,0.167,8.6,14.2,0.604,0.568,0.3,1.9,0.143,3.5,5.1,8.6,2.4,1.3,1.6,0.8,2.1,18.3
2024,NBA,Jordan Clarkson,clarkjo01,31.0,UTA,SG,55,19.0,1682,7.2,17.5,0.413,1.9,6.6,0.294,5.3,10.9,0.485,0.469,3.8,4.3,0.881,1.0,3.0,4.0,5.9,0.7,0.1,3.1,1.7,20.2
